




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
growth cone leading edge (GO:0061850)	1	1	.00	+	 > 100	9.72E-04	1.03E-01
peripheral region of growth cone (GO:0090725)	1	1	.00	+	 > 100	9.72E-04	9.81E-02
ryanodine receptor complex (GO:1990425)	2	1	.00	+	 > 100	1.94E-03	1.63E-01
integrin alpha2-beta1 complex (GO:0034666)	3	1	.00	+	 > 100	2.91E-03	2.26E-01
terminal cisterna (GO:0014802)	4	1	.00	+	 > 100	3.88E-03	2.70E-01
endolysosome lumen (GO:0036021)	5	1	.00	+	 > 100	4.85E-03	3.06E-01
cardiac myofibril (GO:0097512)	7	1	.01	+	 > 100	6.78E-03	3.60E-01
oligosaccharyltransferase complex B (GO:0160227)	8	1	.01	+	 > 100	7.75E-03	3.72E-01
outer dense fiber (GO:0001520)	8	1	.01	+	 > 100	7.75E-03	3.64E-01
postsynaptic endocytic zone (GO:0098843)	9	1	.01	+	 > 100	8.71E-03	3.74E-01
oligosaccharyltransferase complex A (GO:0160226)	9	1	.01	+	 > 100	8.71E-03	3.66E-01
Arp2/3 protein complex (GO:0005885)	9	1	.01	+	 > 100	8.71E-03	3.59E-01
peptidase inhibitor complex (GO:1904090)	11	1	.01	+	93.55	1.06E-02	3.90E-01
proton-transporting V-type ATPase, V1 domain (GO:0033180)	12	1	.01	+	85.75	1.16E-02	4.11E-01
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	12	1	.01	+	85.75	1.16E-02	4.04E-01
clathrin coat of endocytic vesicle (GO:0030128)	12	1	.01	+	85.75	1.16E-02	3.97E-01
AP-2 adaptor complex (GO:0030122)	12	1	.01	+	85.75	1.16E-02	3.90E-01
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	13	1	.01	+	79.15	1.26E-02	4.02E-01
oligosaccharyltransferase complex (GO:0008250)	14	1	.01	+	73.50	1.35E-02	4.14E-01
extrinsic component of synaptic vesicle membrane (GO:0098850)	15	1	.01	+	68.60	1.45E-02	4.30E-01
