




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (84)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
homologous chromosome movement towards spindle pole in meiosis I anaphase (GO:0051758)	1	1	.00	+	 > 100	4.08E-03	1.00E00
detection of hot stimulus involved in thermoception (GO:0120168)	1	1	.00	+	 > 100	4.08E-03	1.00E00
negative regulation of myeloid progenitor cell differentiation (GO:1905454)	1	1	.00	+	 > 100	4.08E-03	1.00E00
protein localization to phagocytic vesicle (GO:1905161)	1	1	.00	+	 > 100	4.08E-03	1.00E00
positive regulation of cytoplasmic translational elongation (GO:1900249)	1	1	.00	+	 > 100	4.08E-03	1.00E00
olfactory nerve formation (GO:0021628)	2	1	.01	+	 > 100	8.15E-03	1.00E00
olfactory nerve morphogenesis (GO:0021627)	2	1	.01	+	 > 100	8.15E-03	1.00E00
futile creatine cycle (GO:0140651)	2	1	.01	+	 > 100	8.15E-03	1.00E00
galactosylceramide catabolic process (GO:0006683)	2	1	.01	+	 > 100	8.15E-03	1.00E00
post-embryonic retina morphogenesis in camera-type eye (GO:0060060)	2	1	.01	+	 > 100	8.15E-03	1.00E00
zonula adherens assembly (GO:0045186)	2	1	.01	+	 > 100	8.15E-03	1.00E00
glucosamine catabolic process (GO:0006043)	2	1	.01	+	 > 100	8.15E-03	1.00E00
negative regulation of chromatin binding (GO:0035562)	2	1	.01	+	 > 100	8.15E-03	1.00E00
sensory perception of hot stimulus (GO:0062036)	2	1	.01	+	 > 100	8.15E-03	1.00E00
tRNA import into mitochondrion (GO:0016031)	2	1	.01	+	 > 100	8.15E-03	1.00E00
galactolipid catabolic process (GO:0019376)	3	1	.01	+	81.67	1.22E-02	1.00E00
