




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (70)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
complement-dependent cytotoxicity (GO:0097278)	3	2	.01	+	 > 100	3.41E-05	8.84E-03
positive regulation of ubiquitin protein ligase activity (GO:1904668)	5	3	.02	+	 > 100	3.75E-07	2.13E-04
positive regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905448)	4	2	.01	+	 > 100	6.81E-05	1.40E-02
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784)	6	2	.02	+	98.00	1.70E-04	2.78E-02
regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905446)	6	2	.02	+	98.00	1.70E-04	2.75E-02
spindle elongation (GO:0051231)	13	4	.04	+	90.46	8.57E-08	5.50E-05
regulation of ubiquitin protein ligase activity (GO:1904666)	10	3	.03	+	88.20	4.45E-06	1.77E-03
wound healing involved in inflammatory response (GO:0002246)	7	2	.02	+	84.00	2.37E-04	3.60E-02
oncogene-induced cell senescence (GO:0090402)	7	2	.02	+	84.00	2.37E-04	3.57E-02
free ubiquitin chain polymerization (GO:0010994)	7	2	.02	+	84.00	2.37E-04	3.53E-02
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	11	3	.04	+	80.18	6.10E-06	2.25E-03
mitotic spindle midzone assembly (GO:0051256)	11	3	.04	+	80.18	6.10E-06	2.19E-03
mitotic spindle elongation (GO:0000022)	11	3	.04	+	80.18	6.10E-06	2.14E-03
metaphase/anaphase transition of cell cycle (GO:0044784)	8	2	.03	+	73.50	3.15E-04	4.19E-02
actomyosin contractile ring assembly (GO:0000915)	8	2	.03	+	73.50	3.15E-04	4.15E-02
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	8	2	.03	+	73.50	3.15E-04	4.12E-02
mitotic nuclear membrane disassembly (GO:0007077)	9	2	.03	+	65.33	4.04E-04	4.89E-02
actomyosin contractile ring organization (GO:0044837)	9	2	.03	+	65.33	4.04E-04	4.85E-02
spindle midzone assembly (GO:0051255)	14	3	.05	+	63.00	1.34E-05	4.28E-03
negative regulation of DNA binding (GO:0043392)	17	3	.06	+	51.88	2.48E-05	6.89E-03
positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	18	3	.06	+	49.00	2.96E-05	7.95E-03
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	19	3	.06	+	46.42	3.51E-05	8.78E-03
regulation of ubiquitin-protein transferase activity (GO:0051438)	20	3	.07	+	44.10	4.12E-05	1.01E-02
positive regulation of mitotic sister chromatid separation (GO:1901970)	22	3	.07	+	40.09	5.54E-05	1.24E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	22	3	.07	+	40.09	5.54E-05	1.22E-02
mitotic spindle assembly (GO:0090307)	52	7	.18	+	39.58	4.59E-10	4.51E-07
