




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (354)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
GMP reductase complex (GO:1902560)	2	2	.03	+	58.14	2.95E-04	1.38E-02
amino acid transport complex (GO:1990184)	2	2	.03	+	58.14	2.95E-04	1.35E-02
ISGF3 complex (GO:0070721)	3	2	.05	+	38.76	8.75E-04	3.33E-02
MHC class I peptide loading complex (GO:0042824)	8	4	.14	+	29.07	5.71E-06	4.43E-04
MHC class I protein complex (GO:0042612)	9	4	.15	+	25.84	1.01E-05	7.30E-04
MHC protein complex (GO:0042611)	25	4	.43	+	9.30	8.18E-04	3.17E-02
lumenal side of endoplasmic reticulum membrane (GO:0098553)	36	5	.62	+	8.07	3.56E-04	1.60E-02
GTPase complex (GO:1905360)	41	5	.71	+	7.09	6.60E-04	2.66E-02
lumenal side of membrane (GO:0098576)	47	5	.81	+	6.18	1.24E-03	4.25E-02
actin filament bundle (GO:0032432)	95	9	1.63	+	5.51	3.81E-05	2.48E-03
contractile actin filament bundle (GO:0097517)	86	8	1.48	+	5.41	1.17E-04	6.38E-03
stress fiber (GO:0001725)	86	8	1.48	+	5.41	1.17E-04	6.21E-03
actomyosin (GO:0042641)	93	8	1.60	+	5.00	2.02E-04	1.02E-02
phagocytic vesicle membrane (GO:0030670)	82	7	1.41	+	4.96	5.28E-04	2.27E-02
Z disc (GO:0030018)	133	9	2.29	+	3.93	4.99E-04	2.19E-02
actin filament (GO:0005884)	120	8	2.06	+	3.88	1.12E-03	4.03E-02
cell-substrate junction (GO:0030055)	433	27	7.45	+	3.63	9.44E-09	1.91E-06
focal adhesion (GO:0005925)	423	26	7.28	+	3.57	2.40E-08	4.03E-06
phagocytic vesicle (GO:0045335)	148	9	2.55	+	3.54	1.07E-03	3.94E-02
I band (GO:0031674)	149	9	2.56	+	3.51	1.13E-03	3.99E-02
endocytic vesicle membrane (GO:0030666)	208	12	3.58	+	3.35	2.71E-04	1.30E-02
perinuclear region of cytoplasm (GO:0048471)	755	36	12.99	+	2.77	3.67E-08	5.29E-06
actin cytoskeleton (GO:0015629)	544	25	9.36	+	2.67	9.17E-06	6.86E-04
lytic vacuole membrane (GO:0098852)	463	21	7.96	+	2.64	5.79E-05	3.44E-03
lysosomal membrane (GO:0005765)	463	21	7.96	+	2.64	5.79E-05	3.34E-03
vacuolar membrane (GO:0005774)	508	23	8.74	+	2.63	2.65E-05	1.85E-03
coated vesicle (GO:0030135)	323	14	5.56	+	2.52	1.50E-03	4.90E-02
cell cortex (GO:0005938)	324	14	5.57	+	2.51	1.55E-03	4.88E-02
vacuole (GO:0005773)	892	38	15.34	+	2.48	4.06E-07	5.12E-05
anchoring junction (GO:0070161)	918	39	15.79	+	2.47	2.84E-07	3.83E-05
endocytic vesicle (GO:0030139)	360	15	6.19	+	2.42	1.53E-03	4.89E-02
lytic vacuole (GO:0000323)	797	33	13.71	+	2.41	3.95E-06	3.32E-04
lysosome (GO:0005764)	797	33	13.71	+	2.41	3.95E-06	3.19E-04
external side of plasma membrane (GO:0009897)	392	16	6.74	+	2.37	1.33E-03	4.41E-02
extracellular matrix (GO:0031012)	485	19	8.34	+	2.28	9.97E-04	3.73E-02
extracellular exosome (GO:0070062)	2102	82	36.16	+	2.27	1.02E-12	5.14E-10
extracellular vesicle (GO:1903561)	2131	82	36.66	+	2.24	1.75E-12	7.08E-10
extracellular organelle (GO:0043230)	2132	82	36.67	+	2.24	1.79E-12	6.03E-10
extracellular membrane-bounded organelle (GO:0065010)	2132	82	36.67	+	2.24	1.79E-12	5.17E-10
external encapsulating structure (GO:0030312)	501	19	8.62	+	2.20	1.32E-03	4.43E-02
bounding membrane of organelle (GO:0098588)	2283	81	39.27	+	2.06	1.85E-10	4.14E-08
side of membrane (GO:0098552)	739	26	12.71	+	2.05	7.04E-04	2.79E-02
cell surface (GO:0009986)	924	32	15.89	+	2.01	2.17E-04	1.07E-02
vesicle membrane (GO:0012506)	1294	43	22.26	+	1.93	3.38E-05	2.27E-03
cytoplasmic vesicle membrane (GO:0030659)	1273	42	21.90	+	1.92	4.90E-05	3.09E-03
vesicle (GO:0031982)	4083	133	70.23	+	1.89	8.66E-15	5.82E-12
cytosol (GO:0005829)	5617	175	96.62	+	1.81	4.85E-19	4.89E-16
cytoplasmic vesicle (GO:0031410)	2614	78	44.96	+	1.73	1.02E-06	1.08E-04
extracellular space (GO:0005615)	3225	96	55.47	+	1.73	3.28E-08	5.10E-06
intracellular vesicle (GO:0097708)	2622	78	45.10	+	1.73	1.06E-06	1.07E-04
organelle subcompartment (GO:0031984)	1592	46	27.38	+	1.68	5.71E-04	2.40E-02
Golgi apparatus (GO:0005794)	1693	47	29.12	+	1.61	1.17E-03	4.08E-02
cell junction (GO:0030054)	2441	67	41.99	+	1.60	1.21E-04	6.25E-03
organelle membrane (GO:0031090)	3879	104	66.72	+	1.56	1.34E-06	1.23E-04
endomembrane system (GO:0012505)	4956	126	85.25	+	1.48	1.16E-06	1.12E-04
extracellular region (GO:0005576)	4287	106	73.74	+	1.44	5.15E-05	3.15E-03
cytoplasm (GO:0005737)	12419	297	213.62	+	1.39	3.50E-22	7.06E-19
intracellular anatomical structure (GO:0005622)	15126	313	260.18	+	1.20	5.50E-12	1.39E-09
intracellular membrane-bounded organelle (GO:0043231)	12348	254	212.40	+	1.20	3.91E-06	3.43E-04
membrane-bounded organelle (GO:0043227)	13453	275	231.41	+	1.19	4.59E-07	5.45E-05
organelle (GO:0043226)	14290	292	245.80	+	1.19	1.88E-08	3.45E-06
intracellular organelle (GO:0043229)	13467	275	231.65	+	1.19	6.03E-07	6.76E-05
chromosome (GO:0005694)	2006	14	34.51	-	.41	5.99E-05	3.36E-03
chromatin (GO:0000785)	1399	9	24.06	-	.37	5.72E-04	2.36E-02
