




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (354)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
acylphosphatase activity (GO:0003998)	2	2	.03	+	58.14	2.95E-04	5.39E-02
GMP reductase activity (GO:0003920)	2	2	.03	+	58.14	2.95E-04	5.21E-02
2'-5'-oligoadenylate synthetase activity (GO:0001730)	3	3	.05	+	58.14	5.05E-06	1.84E-03
lead ion binding (GO:0032791)	2	2	.03	+	58.14	2.95E-04	5.03E-02
oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor (GO:0046857)	2	2	.03	+	58.14	2.95E-04	4.87E-02
TAP binding (GO:0046977)	7	5	.12	+	41.53	2.99E-08	5.10E-05
inositol bisphosphate phosphatase activity (GO:0016312)	7	3	.12	+	24.92	1.68E-04	3.30E-02
cadherin binding involved in cell-cell adhesion (GO:0098641)	18	4	.31	+	12.92	2.18E-04	4.12E-02
peptide antigen binding (GO:0042605)	45	7	.77	+	9.04	1.09E-05	3.09E-03
alcohol dehydrogenase (NADP+) activity (GO:0008106)	35	5	.60	+	8.31	3.11E-04	4.97E-02
double-stranded RNA binding (GO:0003725)	77	9	1.32	+	6.80	6.86E-06	2.34E-03
cell-cell adhesion mediator activity (GO:0098632)	60	7	1.03	+	6.78	7.41E-05	1.58E-02
cell adhesion mediator activity (GO:0098631)	89	10	1.53	+	6.53	3.04E-06	1.30E-03
protein serine/threonine kinase inhibitor activity (GO:0030291)	54	6	.93	+	6.46	3.20E-04	4.96E-02
actin binding (GO:0003779)	448	22	7.71	+	2.85	1.15E-05	3.10E-03
enzyme inhibitor activity (GO:0004857)	450	19	7.74	+	2.45	3.21E-04	4.84E-02
cell adhesion molecule binding (GO:0050839)	628	26	10.80	+	2.41	5.23E-05	1.16E-02
cytoskeletal protein binding (GO:0008092)	1008	36	17.34	+	2.08	3.23E-05	7.52E-03
hydrolase activity (GO:0016787)	2412	69	41.49	+	1.66	1.85E-05	4.74E-03
identical protein binding (GO:0042802)	2216	62	38.12	+	1.63	1.24E-04	2.54E-02
catalytic activity (GO:0003824)	5609	144	96.48	+	1.49	4.68E-08	5.98E-05
protein binding (GO:0005515)	14817	308	254.87	+	1.21	1.31E-11	6.71E-08
binding (GO:0005488)	16779	329	288.62	+	1.14	1.12E-09	2.87E-06
molecular_function (GO:0003674)	18310	341	314.95	+	1.08	7.75E-07	4.96E-04
DNA binding (GO:0003677)	2520	15	43.35	-	.35	2.84E-07	2.90E-04
Unclassified (UNCLASSIFIED)	2270	13	39.05	-	.33	7.75E-07	4.41E-04
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	1341	6	23.07	-	.26	2.87E-05	6.98E-03
double-stranded DNA binding (GO:0003690)	1613	7	27.75	-	.25	3.08E-06	1.21E-03
transcription cis-regulatory region binding (GO:0000976)	1440	6	24.77	-	.24	7.37E-06	2.36E-03
transcription regulatory region nucleic acid binding (GO:0001067)	1441	6	24.79	-	.24	7.38E-06	2.22E-03
sequence-specific double-stranded DNA binding (GO:1990837)	1517	6	26.09	-	.23	2.64E-06	1.23E-03
sequence-specific DNA binding (GO:0043565)	1642	6	28.24	-	.21	4.59E-07	3.36E-04
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	1332	4	22.91	-	.17	1.73E-06	8.84E-04
DNA-binding transcription factor activity (GO:0003700)	1422	4	24.46	-	.16	3.90E-07	3.33E-04
