




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (99)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cellular response to oleic acid (GO:0071400)	3	2	.01	+	 > 100	6.85E-05	1.94E-02
response to oleic acid (GO:0034201)	4	2	.02	+	 > 100	1.37E-04	3.15E-02
cholesterol biosynthetic process via desmosterol (GO:0033489)	4	2	.02	+	 > 100	1.37E-04	3.10E-02
cellular response to ammonium ion (GO:0071242)	5	2	.02	+	83.15	2.27E-04	4.72E-02
intracellular sphingolipid homeostasis (GO:0090156)	5	2	.02	+	83.15	2.27E-04	4.65E-02
negative regulation of ceramide biosynthetic process (GO:1900060)	5	2	.02	+	83.15	2.27E-04	4.59E-02
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	11	3	.05	+	56.69	1.73E-05	6.56E-03
glycine metabolic process (GO:0006544)	13	3	.06	+	47.97	2.98E-05	1.05E-02
urea metabolic process (GO:0019627)	13	3	.06	+	47.97	2.98E-05	1.02E-02
nitrogen cycle metabolic process (GO:0071941)	15	3	.07	+	41.58	4.71E-05	1.36E-02
steroid catabolic process (GO:0006706)	26	4	.13	+	31.98	6.94E-06	3.31E-03
serine family amino acid metabolic process (GO:0009069)	31	4	.15	+	26.82	1.43E-05	5.57E-03
retinol metabolic process (GO:0042572)	52	5	.25	+	19.99	5.05E-06	2.57E-03
terpenoid metabolic process (GO:0006721)	107	9	.51	+	17.49	2.31E-09	5.69E-06
alpha-amino acid biosynthetic process (GO:1901607)	60	5	.29	+	17.32	1.03E-05	4.47E-03
diterpenoid metabolic process (GO:0016101)	92	7	.44	+	15.82	3.02E-07	2.12E-04
isoprenoid metabolic process (GO:0006720)	121	9	.58	+	15.46	6.90E-09	1.13E-05
complement activation (GO:0006956)	55	4	.26	+	15.12	1.42E-04	3.18E-02
amino acid biosynthetic process (GO:0008652)	69	5	.33	+	15.06	2.05E-05	7.56E-03
retinoid metabolic process (GO:0001523)	88	6	.42	+	14.17	4.19E-06	2.21E-03
primary alcohol metabolic process (GO:0034308)	94	6	.45	+	13.27	6.15E-06	3.03E-03
proteinogenic amino acid catabolic process (GO:0170040)	81	5	.39	+	12.83	4.46E-05	1.32E-02
proteinogenic amino acid metabolic process (GO:0170039)	171	10	.82	+	12.16	9.93E-09	1.46E-05
alpha-amino acid metabolic process (GO:1901605)	202	11	.97	+	11.32	3.68E-09	7.76E-06
alpha-amino acid catabolic process (GO:1901606)	95	5	.46	+	10.94	9.57E-05	2.62E-02
steroid biosynthetic process (GO:0006694)	96	5	.46	+	10.83	1.01E-04	2.65E-02
