




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (434)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of triglyceride storage (GO:0010890)	3	3	.06	+	47.42	9.32E-06	1.45E-03
cell envelope organization (GO:0043163)	2	2	.04	+	47.42	4.44E-04	3.19E-02
positive regulation of very-low-density lipoprotein particle remodeling (GO:0010902)	2	2	.04	+	47.42	4.44E-04	3.18E-02
positive regulation of neurofibrillary tangle assembly (GO:1902998)	2	2	.04	+	47.42	4.44E-04	3.16E-02
negative regulation of very-low-density lipoprotein particle clearance (GO:0010916)	4	3	.08	+	35.56	3.67E-05	4.71E-03
regulation of very-low-density lipoprotein particle clearance (GO:0010915)	4	3	.08	+	35.56	3.67E-05	4.67E-03
high-density lipoprotein particle clearance (GO:0034384)	7	5	.15	+	33.87	8.27E-08	3.59E-05
chylomicron remnant clearance (GO:0034382)	6	4	.13	+	31.61	2.83E-06	5.49E-04
detoxification of copper ion (GO:0010273)	17	11	.36	+	30.68	3.57E-15	5.27E-11
stress response to copper ion (GO:1990169)	17	11	.36	+	30.68	3.57E-15	2.64E-11
regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	8	5	.17	+	29.64	2.17E-07	7.43E-05
phospholipid efflux (GO:0033700)	13	8	.27	+	29.18	4.31E-11	5.29E-08
negative regulation of cell adhesion molecule production (GO:0060354)	5	3	.11	+	28.45	9.02E-05	9.65E-03
very-low-density lipoprotein particle clearance (GO:0034447)	5	3	.11	+	28.45	9.02E-05	9.58E-03
triglyceride-rich lipoprotein particle clearance (GO:0071830)	7	4	.15	+	27.10	6.49E-06	1.14E-03
stress response to metal ion (GO:0097501)	22	11	.46	+	23.71	1.85E-13	6.83E-10
keratinocyte migration (GO:0051546)	6	3	.13	+	23.71	1.78E-04	1.66E-02
cholesterol import (GO:0070508)	6	3	.13	+	23.71	1.78E-04	1.65E-02
negative regulation of very-low-density lipoprotein particle remodeling (GO:0010903)	6	3	.13	+	23.71	1.78E-04	1.64E-02
negative regulation of viral life cycle (GO:1903901)	6	3	.13	+	23.71	1.78E-04	1.63E-02
negative regulation of triglyceride catabolic process (GO:0010897)	6	3	.13	+	23.71	1.78E-04	1.62E-02
regulation of triglyceride storage (GO:0010889)	6	3	.13	+	23.71	1.78E-04	1.61E-02
triglyceride-rich lipoprotein particle remodeling (GO:0034370)	10	5	.21	+	23.71	9.41E-07	2.20E-04
reverse cholesterol transport (GO:0043691)	17	8	.36	+	22.31	7.55E-10	6.19E-07
cellular response to copper ion (GO:0071280)	27	12	.57	+	21.08	8.69E-14	4.27E-10
detoxification of inorganic compound (GO:0061687)	25	11	.53	+	20.86	1.11E-12	3.26E-09
regulation of cell adhesion molecule production (GO:0060353)	7	3	.15	+	20.32	3.06E-04	2.40E-02
negative regulation of amyloid fibril formation (GO:1905907)	14	6	.30	+	20.32	2.21E-07	7.42E-05
regulation of triglyceride catabolic process (GO:0010896)	14	6	.30	+	20.32	2.21E-07	7.25E-05
positive regulation of cholesterol storage (GO:0010886)	7	3	.15	+	20.32	3.06E-04	2.39E-02
oxygen transport (GO:0015671)	14	6	.30	+	20.32	2.21E-07	7.09E-05
regulation of phospholipid catabolic process (GO:0060696)	7	3	.15	+	20.32	3.06E-04	2.38E-02
cellular response to zinc ion (GO:0071294)	26	11	.55	+	20.06	1.88E-12	3.96E-09
cellular response to cadmium ion (GO:0071276)	27	11	.57	+	19.32	3.11E-12	5.74E-09
cornification (GO:0070268)	16	6	.34	+	17.78	5.69E-07	1.50E-04
protein import (GO:0017038)	8	3	.17	+	17.78	4.82E-04	3.34E-02
positive regulation of triglyceride catabolic process (GO:0010898)	8	3	.17	+	17.78	4.82E-04	3.32E-02
very-low-density lipoprotein particle remodeling (GO:0034372)	8	3	.17	+	17.78	4.82E-04	3.31E-02
negative regulation of cholesterol transport (GO:0032375)	14	5	.30	+	16.94	6.97E-06	1.20E-03
negative regulation of sterol transport (GO:0032372)	14	5	.30	+	16.94	6.97E-06	1.18E-03
carbon dioxide transport (GO:0015670)	14	5	.30	+	16.94	6.97E-06	1.17E-03
plasma lipoprotein particle clearance (GO:0034381)	28	10	.59	+	16.94	1.47E-10	1.66E-07
regulation of amyloid fibril formation (GO:1905906)	18	6	.38	+	15.81	1.27E-06	2.84E-04
cellular response to erythropoietin (GO:0036018)	9	3	.19	+	15.81	7.12E-04	4.55E-02
aminophospholipid transport (GO:0015917)	9	3	.19	+	15.81	7.12E-04	4.53E-02
high-density lipoprotein particle remodeling (GO:0034375)	21	7	.44	+	15.81	1.59E-07	5.87E-05
positive regulation of lipid storage (GO:0010884)	19	6	.40	+	14.97	1.83E-06	3.96E-04
cholesterol efflux (GO:0033344)	30	9	.63	+	14.23	7.34E-09	5.41E-06
intracellular zinc ion homeostasis (GO:0006882)	37	11	.78	+	14.10	1.69E-10	1.66E-07
response to copper ion (GO:0046688)	41	12	.86	+	13.88	3.02E-11	4.05E-08
negative regulation of triglyceride metabolic process (GO:0090209)	14	4	.30	+	13.55	1.65E-04	1.55E-02
gas transport (GO:0015669)	21	6	.44	+	13.55	3.52E-06	6.67E-04
negative regulation of amyloid-beta formation (GO:1902430)	18	5	.38	+	13.17	2.78E-05	3.73E-03
phagocytosis, recognition (GO:0006910)	15	4	.32	+	12.65	2.21E-04	1.90E-02
positive regulation of phospholipid transport (GO:2001140)	15	4	.32	+	12.65	2.21E-04	1.89E-02
regulation of phospholipid transport (GO:2001138)	15	4	.32	+	12.65	2.21E-04	1.88E-02
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	19	5	.40	+	12.48	3.71E-05	4.68E-03
peptide catabolic process (GO:0043171)	20	5	.42	+	11.85	4.86E-05	5.84E-03
plasma lipoprotein particle assembly (GO:0034377)	24	6	.51	+	11.85	8.29E-06	1.33E-03
plasma lipoprotein particle remodeling (GO:0034369)	37	9	.78	+	11.53	5.60E-08	2.85E-05
protein-lipid complex remodeling (GO:0034368)	37	9	.78	+	11.53	5.60E-08	2.75E-05
endoplasmic reticulum membrane organization (GO:0090158)	17	4	.36	+	11.16	3.73E-04	2.82E-02
protein-containing complex remodeling (GO:0034367)	39	9	.82	+	10.94	9.18E-08	3.87E-05
positive regulation of triglyceride metabolic process (GO:0090208)	22	5	.46	+	10.78	7.98E-05	8.79E-03
response to cadmium ion (GO:0046686)	49	11	1.03	+	10.65	4.58E-09	3.56E-06
protein-lipid complex assembly (GO:0065005)	27	6	.57	+	10.54	1.73E-05	2.43E-03
intermediate filament organization (GO:0045109)	76	16	1.60	+	9.98	3.96E-12	6.49E-09
regulation of triglyceride metabolic process (GO:0090207)	43	9	.91	+	9.92	2.27E-07	7.12E-05
acylglycerol homeostasis (GO:0055090)	44	9	.93	+	9.70	2.80E-07	8.43E-05
response to zinc ion (GO:0010043)	54	11	1.14	+	9.66	1.37E-08	9.62E-06
keratinization (GO:0031424)	84	17	1.77	+	9.60	1.65E-12	4.07E-09
cellular response to lipoprotein particle stimulus (GO:0071402)	40	8	.84	+	9.48	1.56E-06	3.44E-04
epiboly involved in wound healing (GO:0090505)	30	6	.63	+	9.48	3.28E-05	4.29E-03
wound healing, spreading of cells (GO:0044319)	30	6	.63	+	9.48	3.28E-05	4.25E-03
leukocyte adhesion to vascular endothelial cell (GO:0061756)	25	5	.53	+	9.48	1.53E-04	1.49E-02
one-carbon compound transport (GO:0019755)	25	5	.53	+	9.48	1.53E-04	1.48E-02
negative regulation of amide metabolic process (GO:0034249)	25	5	.53	+	9.48	1.53E-04	1.47E-02
epiboly (GO:0090504)	31	6	.65	+	9.18	4.00E-05	5.00E-03
triglyceride homeostasis (GO:0070328)	43	8	.91	+	8.82	2.78E-06	5.48E-04
positive regulation of lipid catabolic process (GO:0050996)	28	5	.59	+	8.47	2.68E-04	2.20E-02
cholesterol transport (GO:0030301)	68	12	1.43	+	8.37	1.67E-08	1.12E-05
plasma lipoprotein particle organization (GO:0071827)	52	9	1.10	+	8.21	1.25E-06	2.88E-04
establishment of skin barrier (GO:0061436)	35	6	.74	+	8.13	8.21E-05	8.97E-03
intermediate filament cytoskeleton organization (GO:0045104)	96	16	2.02	+	7.90	1.65E-10	1.73E-07
regulation of plasma lipoprotein particle levels (GO:0097006)	66	11	1.39	+	7.90	1.22E-07	4.88E-05
intermediate filament-based process (GO:0045103)	97	16	2.05	+	7.82	1.93E-10	1.78E-07
leukocyte cell-cell adhesion (GO:0007159)	61	10	1.29	+	7.77	5.41E-07	1.45E-04
protein-lipid complex organization (GO:0071825)	55	9	1.16	+	7.76	2.04E-06	4.37E-04
negative regulation of lipid transport (GO:0032369)	31	5	.65	+	7.65	4.40E-04	3.19E-02
lipid storage (GO:0019915)	52	8	1.10	+	7.30	1.22E-05	1.84E-03
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	46	7	.97	+	7.22	4.65E-05	5.72E-03
sterol transport (GO:0015918)	80	12	1.69	+	7.11	1.10E-07	4.49E-05
morphogenesis of an epithelial sheet (GO:0002011)	54	8	1.14	+	7.03	1.63E-05	2.31E-03
regulation of lysosomal lumen pH (GO:0035751)	34	5	.72	+	6.97	6.85E-04	4.41E-02
nutrient storage (GO:0170062)	57	8	1.20	+	6.66	2.45E-05	3.38E-03
regulation of lipid catabolic process (GO:0050994)	65	9	1.37	+	6.57	8.53E-06	1.34E-03
regulation of lipid storage (GO:0010883)	44	6	.93	+	6.47	3.04E-04	2.43E-02
phospholipid transport (GO:0015914)	106	14	2.24	+	6.26	5.05E-08	2.66E-05
symbiont entry into host (GO:0044409)	114	15	2.40	+	6.24	1.77E-08	1.09E-05
