




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (434)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)	6	6	.13	+	47.42	8.50E-11	5.44E-08
high-density lipoprotein particle receptor binding (GO:0070653)	3	3	.06	+	47.42	9.32E-06	1.16E-03
peptidyltransferase activity (GO:0000048)	2	2	.04	+	47.42	4.44E-04	3.34E-02
glycogenin glucosyltransferase activity (GO:0008466)	2	2	.04	+	47.42	4.44E-04	3.29E-02
leukotriene-C(4) hydrolase (GO:0002951)	2	2	.04	+	47.42	4.44E-04	3.24E-02
haptoglobin binding (GO:0031720)	2	2	.04	+	47.42	4.44E-04	3.20E-02
asialoglycoprotein receptor activity (GO:0004873)	2	2	.04	+	47.42	4.44E-04	3.15E-02
hemoglobin alpha binding (GO:0031721)	5	4	.11	+	37.94	9.59E-07	1.58E-04
hemoglobin binding (GO:0030492)	9	5	.19	+	26.34	4.79E-07	8.75E-05
oxygen carrier activity (GO:0005344)	13	6	.27	+	21.89	1.29E-07	2.63E-05
lipopolysaccharide immune receptor activity (GO:0001875)	7	3	.15	+	20.32	3.06E-04	2.49E-02
high-density lipoprotein particle binding (GO:0008035)	11	4	.23	+	17.24	5.72E-05	5.42E-03
cuprous ion binding (GO:1903136)	9	3	.19	+	15.81	7.12E-04	4.73E-02
structural constituent of skin epidermis (GO:0030280)	63	18	1.33	+	13.55	5.20E-16	2.66E-12
low-density lipoprotein particle binding (GO:0030169)	17	4	.36	+	11.16	3.73E-04	2.94E-02
protein-lipid complex binding (GO:0071814)	30	7	.63	+	11.06	2.36E-06	3.46E-04
lipoprotein particle binding (GO:0071813)	30	7	.63	+	11.06	2.36E-06	3.36E-04
scavenger receptor activity (GO:0005044)	26	6	.55	+	10.94	1.37E-05	1.63E-03
lipase inhibitor activity (GO:0055102)	20	4	.42	+	9.48	7.23E-04	4.68E-02
cholesterol transfer activity (GO:0120020)	25	5	.53	+	9.48	1.53E-04	1.30E-02
oxygen binding (GO:0019825)	31	6	.65	+	9.18	4.00E-05	4.09E-03
lipoprotein particle receptor binding (GO:0070325)	31	6	.65	+	9.18	4.00E-05	4.01E-03
virus receptor activity (GO:0001618)	80	14	1.69	+	8.30	1.19E-09	4.05E-07
exogenous protein binding (GO:0140272)	81	14	1.71	+	8.20	1.41E-09	4.23E-07
pattern recognition receptor activity (GO:0038187)	53	9	1.12	+	8.05	1.48E-06	2.23E-04
cargo receptor activity (GO:0038024)	66	11	1.39	+	7.90	1.22E-07	2.72E-05
phosphatidylcholine binding (GO:0031210)	30	5	.63	+	7.90	3.76E-04	2.91E-02
sterol transfer activity (GO:0120015)	32	5	.67	+	7.41	5.13E-04	3.60E-02
amyloid-beta binding (GO:0001540)	83	11	1.75	+	6.28	1.33E-06	2.07E-04
lipid transfer activity (GO:0120013)	68	8	1.43	+	5.58	8.96E-05	8.34E-03
molecular carrier activity (GO:0140104)	120	12	2.53	+	4.74	8.98E-06	1.15E-03
cell adhesion mediator activity (GO:0098631)	89	8	1.88	+	4.26	5.83E-04	3.98E-02
modified amino acid binding (GO:0072341)	91	8	1.92	+	4.17	6.77E-04	4.56E-02
peptide binding (GO:0042277)	233	20	4.91	+	4.07	1.25E-07	2.67E-05
integrin binding (GO:0005178)	152	13	3.21	+	4.06	2.10E-05	2.24E-03
structural constituent of cytoskeleton (GO:0005200)	115	9	2.43	+	3.71	7.44E-04	4.76E-02
