




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
activation of blood coagulation via clotting cascade (GO:0002543)	2	2	.04	+	48.20	4.30E-04	1.98E-02
susceptibility to T cell mediated cytotoxicity (GO:0060370)	2	2	.04	+	48.20	4.30E-04	1.97E-02
creatine biosynthetic process (GO:0006601)	2	2	.04	+	48.20	4.30E-04	1.97E-02
positive regulation of neurofibrillary tangle assembly (GO:1902998)	2	2	.04	+	48.20	4.30E-04	1.96E-02
regulation of basement membrane organization (GO:0110011)	8	6	.17	+	36.15	2.08E-09	8.78E-07
isoprenoid biosynthetic process via mevalonate (GO:1902767)	3	2	.06	+	32.13	1.27E-03	4.40E-02
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	3	2	.06	+	32.13	1.27E-03	4.39E-02
negative regulation of activation of membrane attack complex (GO:0001971)	3	2	.06	+	32.13	1.27E-03	4.38E-02
insulin receptor internalization (GO:0038016)	3	2	.06	+	32.13	1.27E-03	4.37E-02
protein targeting to lysosome involved in chaperone-mediated autophagy (GO:0061740)	3	2	.06	+	32.13	1.27E-03	4.36E-02
response to prostaglandin F (GO:0034696)	3	2	.06	+	32.13	1.27E-03	4.35E-02
susceptibility to natural killer cell mediated cytotoxicity (GO:0042271)	3	2	.06	+	32.13	1.27E-03	4.34E-02
establishment of blood-nerve barrier (GO:0008065)	3	2	.06	+	32.13	1.27E-03	4.33E-02
positive regulation of integrin-mediated signaling pathway (GO:2001046)	13	8	.27	+	29.66	3.78E-11	3.99E-08
protein localization to plasma membrane raft (GO:0044860)	6	3	.12	+	24.10	1.69E-04	8.96E-03
cholesterol storage (GO:0010878)	6	3	.12	+	24.10	1.69E-04	8.92E-03
cell-cell adhesion mediated by integrin (GO:0033631)	7	3	.15	+	20.66	2.92E-04	1.42E-02
positive regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904906)	7	3	.15	+	20.66	2.92E-04	1.41E-02
positive regulation of gap junction assembly (GO:1903598)	7	3	.15	+	20.66	2.92E-04	1.41E-02
nitric oxide-cGMP-mediated signaling (GO:0038060)	10	4	.21	+	19.28	3.48E-05	2.44E-03
negative regulation of sodium ion transport (GO:0010766)	13	5	.27	+	18.54	4.21E-06	4.15E-04
negative regulation of sodium ion transmembrane transport (GO:1902306)	8	3	.17	+	18.07	4.60E-04	2.04E-02
regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904904)	8	3	.17	+	18.07	4.60E-04	2.04E-02
protein import (GO:0017038)	8	3	.17	+	18.07	4.60E-04	2.03E-02
regulation of integrin-mediated signaling pathway (GO:2001044)	23	8	.48	+	16.76	1.20E-08	3.54E-06
common myeloid progenitor cell proliferation (GO:0035726)	9	3	.19	+	16.07	6.79E-04	2.78E-02
regulation of complement-dependent cytotoxicity (GO:1903659)	9	3	.19	+	16.07	6.79E-04	2.77E-02
regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002858)	9	3	.19	+	16.07	6.79E-04	2.77E-02
low-density lipoprotein particle remodeling (GO:0034374)	16	5	.33	+	15.06	1.36E-05	1.14E-03
virion attachment to host cell (GO:0019062)	10	3	.21	+	14.46	9.55E-04	3.60E-02
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	10	3	.21	+	14.46	9.55E-04	3.59E-02
regulation of gap junction assembly (GO:1903596)	10	3	.21	+	14.46	9.55E-04	3.59E-02
regulation of natural killer cell mediated immune response to tumor cell (GO:0002855)	10	3	.21	+	14.46	9.55E-04	3.58E-02
protein localization to membrane raft (GO:1903044)	11	3	.23	+	13.14	1.29E-03	4.40E-02
podocyte development (GO:0072015)	11	3	.23	+	13.14	1.29E-03	4.39E-02
glomerular basement membrane development (GO:0032836)	11	3	.23	+	13.14	1.29E-03	4.38E-02
adhesion of symbiont to host cell (GO:0044650)	11	3	.23	+	13.14	1.29E-03	4.37E-02
catecholamine catabolic process (GO:0042424)	11	3	.23	+	13.14	1.29E-03	4.36E-02
dopamine catabolic process (GO:0042420)	11	3	.23	+	13.14	1.29E-03	4.35E-02
regulation of potassium ion export across plasma membrane (GO:1903764)	11	3	.23	+	13.14	1.29E-03	4.34E-02
catechol-containing compound catabolic process (GO:0019614)	11	3	.23	+	13.14	1.29E-03	4.33E-02
cholesterol efflux (GO:0033344)	30	8	.62	+	12.85	1.26E-07	2.55E-05
low-density lipoprotein particle clearance (GO:0034383)	15	4	.31	+	12.85	2.08E-04	1.05E-02
lysosomal protein catabolic process (GO:1905146)	16	4	.33	+	12.05	2.73E-04	1.35E-02
cell adhesion mediated by integrin (GO:0033627)	29	7	.60	+	11.63	1.66E-06	2.02E-04
angiotensin-activated signaling pathway (GO:0038166)	17	4	.35	+	11.34	3.51E-04	1.67E-02
lipoprotein transport (GO:0042953)	17	4	.35	+	11.34	3.51E-04	1.66E-02
epiboly involved in wound healing (GO:0090505)	30	7	.62	+	11.25	2.12E-06	2.51E-04
wound healing, spreading of cells (GO:0044319)	30	7	.62	+	11.25	2.12E-06	2.49E-04
regulation of heterotypic cell-cell adhesion (GO:0034114)	22	5	.46	+	10.95	7.39E-05	4.49E-03
epiboly (GO:0090504)	31	7	.64	+	10.88	2.69E-06	2.94E-04
negative regulation of anoikis (GO:2000811)	18	4	.37	+	10.71	4.44E-04	2.02E-02
protein catabolic process in the vacuole (GO:0007039)	18	4	.37	+	10.71	4.44E-04	2.02E-02
lipoprotein localization (GO:0044872)	18	4	.37	+	10.71	4.44E-04	2.01E-02
negative regulation of platelet activation (GO:0010544)	18	4	.37	+	10.71	4.44E-04	2.00E-02
plasma lipoprotein particle clearance (GO:0034381)	28	6	.58	+	10.33	1.97E-05	1.54E-03
endodermal cell differentiation (GO:0035987)	47	10	.98	+	10.25	3.47E-08	8.68E-06
blood coagulation, fibrin clot formation (GO:0072378)	19	4	.39	+	10.15	5.53E-04	2.33E-02
secondary alcohol biosynthetic process (GO:1902653)	38	8	.79	+	10.15	9.12E-07	1.31E-04
cholesterol biosynthetic process (GO:0006695)	38	8	.79	+	10.15	9.12E-07	1.29E-04
regulation of extracellular matrix disassembly (GO:0010715)	19	4	.39	+	10.15	5.53E-04	2.33E-02
plasma lipoprotein particle assembly (GO:0034377)	24	5	.50	+	10.04	1.15E-04	6.47E-03
negative regulation of coagulation (GO:0050819)	49	10	1.02	+	9.84	5.31E-08	1.24E-05
acute-phase response (GO:0006953)	40	8	.83	+	9.64	1.38E-06	1.77E-04
positive regulation of T cell receptor signaling pathway (GO:0050862)	20	4	.41	+	9.64	6.80E-04	2.76E-02
thyroid hormone metabolic process (GO:0042403)	25	5	.52	+	9.64	1.42E-04	7.66E-03
negative regulation of blood coagulation (GO:0030195)	46	9	.95	+	9.43	3.66E-07	6.42E-05
positive regulation of cholesterol efflux (GO:0010875)	26	5	.54	+	9.27	1.72E-04	8.99E-03
negative regulation of hemostasis (GO:1900047)	47	9	.98	+	9.23	4.44E-07	7.45E-05
regulation of blood coagulation (GO:0030193)	68	13	1.41	+	9.21	1.23E-09	5.84E-07
nitric oxide mediated signal transduction (GO:0007263)	21	4	.44	+	9.18	8.26E-04	3.25E-02
negative regulation of potassium ion transmembrane transport (GO:1901380)	21	4	.44	+	9.18	8.26E-04	3.24E-02
plasma lipoprotein particle remodeling (GO:0034369)	37	7	.77	+	9.12	9.47E-06	8.27E-04
protein-lipid complex remodeling (GO:0034368)	37	7	.77	+	9.12	9.47E-06	8.22E-04
protein targeting to lysosome (GO:0006622)	32	6	.66	+	9.04	4.42E-05	2.95E-03
regulation of coagulation (GO:0050818)	75	14	1.56	+	9.00	3.93E-10	2.52E-07
regulation of hemostasis (GO:1900046)	70	13	1.45	+	8.95	1.79E-09	7.99E-07
protein-lipid complex assembly (GO:0065005)	27	5	.56	+	8.93	2.08E-04	1.06E-02
protein activation cascade (GO:0072376)	22	4	.46	+	8.76	9.94E-04	3.70E-02
sterol biosynthetic process (GO:0016126)	44	8	.91	+	8.76	2.96E-06	3.15E-04
response to thyroid hormone (GO:0097066)	22	4	.46	+	8.76	9.94E-04	3.69E-02
regulation of extracellular matrix organization (GO:1903053)	61	11	1.27	+	8.69	4.44E-08	1.06E-05
protein-containing complex remodeling (GO:0034367)	39	7	.81	+	8.65	1.37E-05	1.14E-03
endoderm formation (GO:0001706)	56	10	1.16	+	8.61	2.02E-07	3.78E-05
symbiont entry into host (GO:0044409)	114	20	2.37	+	8.46	2.26E-13	3.70E-10
symbiont entry into host cell (GO:0046718)	114	20	2.37	+	8.46	2.26E-13	3.33E-10
podocyte differentiation (GO:0072112)	23	4	.48	+	8.38	1.18E-03	4.24E-02
renal filtration cell differentiation (GO:0061318)	23	4	.48	+	8.38	1.18E-03	4.23E-02
establishment of endothelial barrier (GO:0061028)	35	6	.73	+	8.26	7.51E-05	4.50E-03
glomerular epithelial cell differentiation (GO:0072311)	24	4	.50	+	8.03	1.40E-03	4.58E-02
basement membrane organization (GO:0071711)	36	6	.75	+	8.03	8.85E-05	5.22E-03
modified amino acid biosynthetic process (GO:0042398)	42	7	.87	+	8.03	2.27E-05	1.75E-03
positive regulation of nitric oxide biosynthetic process (GO:0045429)	38	6	.79	+	7.61	1.21E-04	6.70E-03
plasma lipoprotein particle organization (GO:0071827)	52	8	1.08	+	7.41	1.09E-05	9.28E-04
prostanoid metabolic process (GO:0006692)	39	6	.81	+	7.41	1.41E-04	7.66E-03
regulation of nitric oxide biosynthetic process (GO:0045428)	59	9	1.22	+	7.35	3.29E-06	3.41E-04
regulation of plasma lipoprotein particle levels (GO:0097006)	66	10	1.37	+	7.30	9.95E-07	1.39E-04
acute inflammatory response (GO:0002526)	73	11	1.51	+	7.26	3.02E-07	5.37E-05
sterol transport (GO:0015918)	80	12	1.66	+	7.23	9.20E-08	2.00E-05
cholesterol homeostasis (GO:0042632)	100	15	2.07	+	7.23	2.26E-09	9.01E-07
negative regulation of wound healing (GO:0061045)	67	10	1.39	+	7.19	1.15E-06	1.54E-04
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	47	7	.98	+	7.18	4.84E-05	3.19E-03
regulation of cholesterol metabolic process (GO:0090181)	47	7	.98	+	7.18	4.84E-05	3.17E-03
sterol homeostasis (GO:0055092)	101	15	2.10	+	7.16	2.60E-09	9.85E-07
