




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
laminin-11 complex (GO:0043260)	3	3	.06	+	48.20	8.87E-06	2.21E-04
laminin-10 complex (GO:0043259)	3	3	.06	+	48.20	8.87E-06	2.18E-04
laminin-5 complex (GO:0005610)	3	3	.06	+	48.20	8.87E-06	2.16E-04
laminin-1 complex (GO:0005606)	3	3	.06	+	48.20	8.87E-06	2.13E-04
laminin-2 complex (GO:0005607)	2	2	.04	+	48.20	4.30E-04	7.28E-03
chylomicron remnant (GO:0034360)	2	2	.04	+	48.20	4.30E-04	7.22E-03
integrin alphav-beta6 complex (GO:0034685)	2	2	.04	+	48.20	4.30E-04	7.16E-03
integrin alphav-beta5 complex (GO:0034684)	2	2	.04	+	48.20	4.30E-04	7.10E-03
laminin complex (GO:0043256)	10	8	.21	+	38.56	1.40E-12	1.08E-10
laminin-3 complex (GO:0005608)	4	3	.08	+	36.15	3.49E-05	7.42E-04
mucus layer (GO:0070701)	3	2	.06	+	32.13	1.27E-03	1.78E-02
alphav-beta3 integrin-vitronectin complex (GO:0071062)	3	2	.06	+	32.13	1.27E-03	1.77E-02
oligosaccharyltransferase complex A (GO:0160226)	9	5	.19	+	26.78	4.42E-07	1.44E-05
platelet dense granule membrane (GO:0031088)	6	3	.12	+	24.10	1.69E-04	3.16E-03
multivesicular body, internal vesicle (GO:0097487)	6	3	.12	+	24.10	1.69E-04	3.13E-03
protein complex involved in cell-matrix adhesion (GO:0098637)	17	7	.35	+	19.85	2.56E-08	1.01E-06
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	5	2	.10	+	19.28	4.12E-03	4.72E-02
intermediate-density lipoprotein particle (GO:0034363)	5	2	.10	+	19.28	4.12E-03	4.70E-02
fibrinogen complex (GO:0005577)	8	3	.17	+	18.07	4.60E-04	7.36E-03
oligosaccharyltransferase complex (GO:0008250)	14	5	.29	+	17.21	6.44E-06	1.67E-04
basement membrane (GO:0005604)	100	25	2.07	+	12.05	2.43E-20	3.77E-18
chylomicron (GO:0042627)	13	3	.27	+	11.12	2.17E-03	2.77E-02
zymogen granule membrane (GO:0042589)	18	4	.37	+	10.71	4.44E-04	7.22E-03
zymogen granule (GO:0042588)	20	4	.41	+	9.64	6.80E-04	1.02E-02
low-density lipoprotein particle (GO:0034362)	15	3	.31	+	9.64	3.35E-03	3.98E-02
protein complex involved in cell adhesion (GO:0098636)	57	11	1.18	+	9.30	2.11E-08	8.52E-07
platelet dense granule (GO:0042827)	21	4	.44	+	9.18	8.26E-04	1.23E-02
COPI-coated vesicle (GO:0030137)	25	4	.52	+	7.71	1.64E-03	2.20E-02
synaptic cleft (GO:0043083)	25	4	.52	+	7.71	1.64E-03	2.19E-02
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	82	13	1.70	+	7.64	1.34E-08	5.64E-07
microvillus membrane (GO:0031528)	33	5	.68	+	7.30	5.52E-04	8.64E-03
complex of collagen trimers (GO:0098644)	27	4	.56	+	7.14	2.20E-03	2.79E-02
high-density lipoprotein particle (GO:0034364)	27	4	.56	+	7.14	2.20E-03	2.77E-02
respiratory chain complex I (GO:0045271)	48	7	1.00	+	7.03	5.57E-05	1.16E-03
NADH dehydrogenase complex (GO:0030964)	48	7	1.00	+	7.03	5.57E-05	1.15E-03
