




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
hydroxymethylglutaryl-CoA synthase activity (GO:0004421)	2	2	.04	+	48.20	4.30E-04	2.93E-02
phospholipase D activator activity (GO:1990583)	2	2	.04	+	48.20	4.30E-04	2.89E-02
dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)	5	3	.10	+	28.92	8.60E-05	7.59E-03
oligosaccharyl transferase activity (GO:0004576)	5	3	.10	+	28.92	8.60E-05	7.46E-03
nitric-oxide synthase regulator activity (GO:0030235)	10	4	.21	+	19.28	3.48E-05	3.56E-03
sodium channel inhibitor activity (GO:0019871)	8	3	.17	+	18.07	4.60E-04	2.98E-02
aryl sulfotransferase activity (GO:0004062)	9	3	.19	+	16.07	6.79E-04	4.18E-02
cholesterol transfer activity (GO:0120020)	25	6	.52	+	11.57	9.76E-06	1.28E-03
exogenous protein binding (GO:0140272)	81	18	1.68	+	10.71	4.90E-14	1.25E-10
dipeptidase activity (GO:0016805)	18	4	.37	+	10.71	4.44E-04	2.95E-02
virus receptor activity (GO:0001618)	80	17	1.66	+	10.24	5.47E-13	5.60E-10
lipoprotein particle receptor binding (GO:0070325)	31	6	.64	+	9.33	3.65E-05	3.59E-03
proteoglycan binding (GO:0043394)	37	7	.77	+	9.12	9.47E-06	1.28E-03
sterol transfer activity (GO:0120015)	32	6	.66	+	9.04	4.42E-05	4.26E-03
laminin binding (GO:0043236)	28	5	.58	+	8.61	2.49E-04	1.82E-02
glutathione transferase activity (GO:0004364)	28	5	.58	+	8.61	2.49E-04	1.79E-02
extracellular matrix structural constituent (GO:0005201)	175	31	3.63	+	8.54	3.65E-20	1.87E-16
extracellular matrix binding (GO:0050840)	66	10	1.37	+	7.30	9.95E-07	1.54E-04
sodium channel regulator activity (GO:0017080)	41	6	.85	+	7.05	1.87E-04	1.47E-02
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	41	6	.85	+	7.05	1.87E-04	1.45E-02
antioxidant activity (GO:0016209)	76	10	1.58	+	6.34	3.74E-06	5.32E-04
collagen binding (GO:0005518)	72	9	1.49	+	6.02	1.75E-05	2.00E-03
integrin binding (GO:0005178)	152	19	3.15	+	6.02	4.09E-10	2.09E-07
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	67	8	1.39	+	5.75	7.19E-05	6.46E-03
GDP binding (GO:0019003)	78	9	1.62	+	5.56	3.37E-05	3.52E-03
ion channel inhibitor activity (GO:0008200)	53	6	1.10	+	5.46	7.75E-04	4.67E-02
channel inhibitor activity (GO:0016248)	54	6	1.12	+	5.36	8.57E-04	4.87E-02
cargo receptor activity (GO:0038024)	66	7	1.37	+	5.11	4.28E-04	2.96E-02
exopeptidase activity (GO:0008238)	107	11	2.22	+	4.95	1.40E-05	1.71E-03
active monoatomic ion transmembrane transporter activity (GO:0022853)	117	12	2.43	+	4.94	5.86E-06	8.11E-04
modified amino acid binding (GO:0072341)	91	9	1.89	+	4.77	1.14E-04	9.75E-03
metalloexopeptidase activity (GO:0008235)	71	7	1.47	+	4.75	6.68E-04	4.17E-02
monosaccharide binding (GO:0048029)	73	7	1.51	+	4.62	7.90E-04	4.70E-02
electron transfer activity (GO:0009055)	116	10	2.41	+	4.15	1.53E-04	1.25E-02
proton transmembrane transporter activity (GO:0015078)	186	16	3.86	+	4.15	1.80E-06	2.63E-04
sulfur compound binding (GO:1901681)	264	20	5.48	+	3.65	7.20E-07	1.15E-04
primary active transmembrane transporter activity (GO:0015399)	166	12	3.44	+	3.48	1.87E-04	1.43E-02
transporter regulator activity (GO:0141108)	197	14	4.09	+	3.43	6.71E-05	6.13E-03
actin filament binding (GO:0051015)	208	13	4.32	+	3.01	4.26E-04	2.99E-02
serine-type peptidase activity (GO:0008236)	196	12	4.07	+	2.95	8.41E-04	4.89E-02
cell adhesion molecule binding (GO:0050839)	628	37	13.03	+	2.84	1.34E-08	3.81E-06
amide binding (GO:0033218)	244	14	5.06	+	2.77	6.12E-04	3.87E-02
GTP binding (GO:0005525)	382	21	7.93	+	2.65	5.42E-05	5.14E-03
structural molecule activity (GO:0005198)	812	44	16.85	+	2.61	6.70E-09	2.14E-06
protein-containing complex binding (GO:0044877)	1299	70	26.95	+	2.60	1.56E-13	1.99E-10
active transmembrane transporter activity (GO:0022804)	459	24	9.52	+	2.52	3.61E-05	3.62E-03
guanyl nucleotide binding (GO:0019001)	406	21	8.42	+	2.49	1.28E-04	1.07E-02
guanyl ribonucleotide binding (GO:0032561)	406	21	8.42	+	2.49	1.28E-04	1.06E-02
phospholipid binding (GO:0005543)	505	26	10.48	+	2.48	2.23E-05	2.43E-03
GTPase activity (GO:0003924)	343	17	7.12	+	2.39	8.85E-04	4.87E-02
lipid binding (GO:0008289)	870	43	18.05	+	2.38	1.45E-07	2.65E-05
oxidoreductase activity (GO:0016491)	674	32	13.98	+	2.29	1.38E-05	1.72E-03
signaling receptor binding (GO:0005102)	1543	67	32.01	+	2.09	7.38E-09	2.22E-06
peptidase activity (GO:0008233)	621	26	12.88	+	2.02	7.94E-04	4.67E-02
ribonucleoside triphosphate phosphatase activity (GO:0017111)	738	30	15.31	+	1.96	5.04E-04	3.22E-02
transporter activity (GO:0005215)	1256	49	26.06	+	1.88	2.16E-05	2.41E-03
pyrophosphatase activity (GO:0016462)	798	31	16.56	+	1.87	8.47E-04	4.87E-02
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	801	31	16.62	+	1.87	8.79E-04	4.94E-02
hydrolase activity, acting on acid anhydrides (GO:0016817)	801	31	16.62	+	1.87	8.79E-04	4.89E-02
anion binding (GO:0043168)	2463	95	51.10	+	1.86	1.55E-09	6.10E-07
carbohydrate derivative binding (GO:0097367)	2253	85	46.75	+	1.82	4.34E-08	8.88E-06
hydrolase activity (GO:0016787)	2412	87	50.04	+	1.74	2.57E-07	4.54E-05
identical protein binding (GO:0042802)	2216	76	45.98	+	1.65	1.19E-05	1.53E-03
nucleoside phosphate binding (GO:1901265)	2151	73	44.63	+	1.64	2.76E-05	2.94E-03
heterocyclic compound binding (GO:1901363)	2277	77	47.24	+	1.63	1.55E-05	1.84E-03
nucleotide binding (GO:0000166)	2132	71	44.24	+	1.61	5.47E-05	5.09E-03
purine nucleotide binding (GO:0017076)	1968	65	40.83	+	1.59	1.66E-04	1.33E-02
catalytic activity (GO:0003824)	5609	185	116.38	+	1.59	7.59E-13	6.48E-10
ribonucleotide binding (GO:0032553)	1888	62	39.17	+	1.58	3.38E-04	2.40E-02
purine ribonucleotide binding (GO:0032555)	1871	61	38.82	+	1.57	4.44E-04	2.91E-02
purine ribonucleoside triphosphate binding (GO:0035639)	1823	59	37.82	+	1.56	7.26E-04	4.42E-02
molecular function regulator activity (GO:0098772)	2386	75	49.51	+	1.51	2.29E-04	1.70E-02
small molecule binding (GO:0036094)	6359	184	131.94	+	1.39	1.02E-07	2.00E-05
ion binding (GO:0043167)	6172	177	128.06	+	1.38	4.57E-07	7.79E-05
protein binding (GO:0005515)	14817	372	307.43	+	1.21	6.33E-14	1.08E-10
binding (GO:0005488)	16779	393	348.14	+	1.13	9.58E-10	4.46E-07
molecular_function (GO:0003674)	18310	417	379.90	+	1.10	1.36E-11	8.71E-09
nucleic acid binding (GO:0003676)	3994	36	82.87	-	.43	2.88E-10	1.64E-07
DNA binding (GO:0003677)	2520	19	52.29	-	.36	3.66E-08	7.81E-06
transcription regulator activity (GO:0140110)	1938	9	40.21	-	.22	1.42E-09	6.05E-07
Unclassified (UNCLASSIFIED)	2270	10	47.10	-	.21	1.36E-11	9.96E-09
double-stranded DNA binding (GO:0003690)	1613	7	33.47	-	.21	2.61E-08	5.82E-06
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	1332	5	27.64	-	.18	1.37E-07	2.59E-05
sequence-specific DNA binding (GO:0043565)	1642	6	34.07	-	.18	2.17E-09	7.93E-07
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	1122	4	23.28	-	.17	1.32E-06	1.98E-04
DNA-binding transcription factor activity (GO:0003700)	1422	5	29.50	-	.17	2.16E-08	5.03E-06
cis-regulatory region sequence-specific DNA binding (GO:0000987)	1146	4	23.78	-	.17	6.20E-07	1.02E-04
transcription cis-regulatory region binding (GO:0000976)	1440	5	29.88	-	.17	1.50E-08	3.83E-06
transcription regulatory region nucleic acid binding (GO:0001067)	1441	5	29.90	-	.17	1.49E-08	4.02E-06
G protein-coupled receptor activity (GO:0004930)	879	3	18.24	-	.16	1.67E-05	1.94E-03
sequence-specific double-stranded DNA binding (GO:1990837)	1517	5	31.48	-	.16	3.36E-09	1.15E-06
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	1341	4	27.82	-	.14	1.53E-08	3.73E-06
olfactory receptor activity (GO:0004984)	435	0	9.03	-	 < 0.01	2.22E-04	1.67E-02
