




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (437)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
isoleucyl-tRNA aminoacylation (GO:0006428)	2	2	.04	+	47.09	4.50E-04	3.82E-02
negative regulation of mitochondrial RNA catabolic process (GO:0000961)	2	2	.04	+	47.09	4.50E-04	3.80E-02
negative regulation of mitochondrial mRNA catabolic process (GO:1905638)	2	2	.04	+	47.09	4.50E-04	3.78E-02
regulation of mitochondrial mRNA catabolic process (GO:1905637)	2	2	.04	+	47.09	4.50E-04	3.76E-02
mitochondrial mRNA polyadenylation (GO:0097222)	4	3	.08	+	35.32	3.74E-05	4.61E-03
nuclear cell cycle DNA replication initiation (GO:1902315)	5	3	.11	+	28.26	9.21E-05	9.85E-03
cell cycle DNA replication initiation (GO:1902292)	5	3	.11	+	28.26	9.21E-05	9.77E-03
regulation of mitochondrial RNA catabolic process (GO:0000960)	5	3	.11	+	28.26	9.21E-05	9.70E-03
mitotic DNA replication initiation (GO:1902975)	5	3	.11	+	28.26	9.21E-05	9.63E-03
transcription pausing by RNA polymerase II (GO:0160239)	6	3	.13	+	23.55	1.81E-04	1.71E-02
double-strand break repair via break-induced replication (GO:0000727)	12	5	.25	+	19.62	2.96E-06	4.72E-04
nuclear pore organization (GO:0006999)	15	6	.32	+	18.84	3.77E-07	8.43E-05
nuclear pore complex assembly (GO:0051292)	10	4	.21	+	18.84	3.80E-05	4.65E-03
cytosolic ribosome assembly (GO:0042256)	10	4	.21	+	18.84	3.80E-05	4.61E-03
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	8	3	.17	+	17.66	4.92E-04	4.02E-02
U2-type prespliceosome assembly (GO:1903241)	25	7	.53	+	13.19	6.41E-07	1.24E-04
DNA strand elongation involved in DNA replication (GO:0006271)	15	4	.32	+	12.56	2.27E-04	2.09E-02
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	23	6	.49	+	12.29	6.58E-06	9.76E-04
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) (GO:0000388)	35	9	.74	+	12.11	3.50E-08	1.02E-05
spliceosomal conformational changes to generate catalytic conformation (GO:0000393)	39	10	.83	+	12.08	6.17E-09	2.24E-06
maturation of LSU-rRNA (GO:0000470)	32	8	.68	+	11.77	2.61E-07	6.32E-05
regulation of IRE1-mediated unfolded protein response (GO:1903894)	16	4	.34	+	11.77	2.98E-04	2.69E-02
spliceosomal snRNP assembly (GO:0000387)	70	17	1.49	+	11.44	7.48E-14	5.44E-11
regulation of DNA-templated DNA replication initiation (GO:0030174)	21	5	.45	+	11.21	6.48E-05	7.36E-03
maturation of 5.8S rRNA (GO:0000460)	41	9	.87	+	10.34	1.55E-07	3.95E-05
nuclear DNA replication (GO:0033260)	23	5	.49	+	10.24	1.04E-04	1.07E-02
mRNA cis splicing, via spliceosome (GO:0045292)	28	6	.59	+	10.09	2.24E-05	2.91E-03
spliceosomal tri-snRNP complex assembly (GO:0000244)	38	8	.81	+	9.91	1.08E-06	2.00E-04
pore complex assembly (GO:0046931)	19	4	.40	+	9.91	6.03E-04	4.79E-02
cell cycle DNA replication (GO:0044786)	24	5	.51	+	9.81	1.28E-04	1.27E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	46	9	.98	+	9.21	4.44E-07	9.49E-05
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	31	6	.66	+	9.11	4.16E-05	4.95E-03
GMP metabolic process (GO:0046037)	26	5	.55	+	9.06	1.92E-04	1.79E-02
protein insertion into mitochondrial membrane (GO:0051204)	32	6	.68	+	8.83	5.02E-05	5.89E-03
establishment of protein localization to mitochondrial membrane (GO:0090151)	34	6	.72	+	8.31	7.19E-05	7.98E-03
DNA replication initiation (GO:0006270)	29	5	.62	+	8.12	3.29E-04	2.90E-02
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	11	1.36	+	8.09	9.43E-08	2.69E-05
NAD+ metabolic process (GO:0019674)	41	7	.87	+	8.04	2.23E-05	2.93E-03
spliceosomal complex assembly (GO:0000245)	78	13	1.66	+	7.85	9.41E-09	3.18E-06
endochondral ossification (GO:0001958)	31	5	.66	+	7.60	4.55E-04	3.77E-02
replacement ossification (GO:0036075)	31	5	.66	+	7.60	4.55E-04	3.75E-02
cytoplasmic translational initiation (GO:0002183)	38	6	.81	+	7.44	1.37E-04	1.34E-02
proton motive force-driven ATP synthesis (GO:0015986)	72	11	1.53	+	7.19	3.29E-07	7.85E-05
protein targeting to mitochondrion (GO:0006626)	33	5	.70	+	7.14	6.13E-04	4.84E-02
tRNA aminoacylation for protein translation (GO:0006418)	44	6	.93	+	6.42	3.16E-04	2.80E-02
ATP biosynthetic process (GO:0006754)	86	11	1.83	+	6.02	2.04E-06	3.41E-04
tRNA aminoacylation (GO:0043039)	47	6	1.00	+	6.01	4.55E-04	3.74E-02
protein-RNA complex assembly (GO:0022618)	229	29	4.86	+	5.96	1.20E-14	9.66E-12
ribosomal large subunit biogenesis (GO:0042273)	80	10	1.70	+	5.89	7.35E-06	1.07E-03
establishment of protein localization to mitochondrion (GO:0072655)	80	10	1.70	+	5.89	7.35E-06	1.06E-03
amino acid activation (GO:0043038)	48	6	1.02	+	5.89	5.11E-04	4.13E-02
protein insertion into membrane (GO:0051205)	73	9	1.55	+	5.81	2.36E-05	3.03E-03
protein-RNA complex organization (GO:0071826)	238	29	5.05	+	5.74	3.30E-14	2.53E-11
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	97	11	2.06	+	5.34	6.74E-06	9.89E-04
purine nucleotide biosynthetic process (GO:0006164)	177	20	3.76	+	5.32	1.30E-09	5.54E-07
purine nucleoside triphosphate biosynthetic process (GO:0009145)	98	11	2.08	+	5.29	7.44E-06	1.06E-03
purine ribonucleotide biosynthetic process (GO:0009152)	147	16	3.12	+	5.13	9.96E-08	2.78E-05
ribonucleoside triphosphate biosynthetic process (GO:0009201)	103	11	2.19	+	5.03	1.21E-05	1.68E-03
mRNA splicing, via spliceosome (GO:0000398)	272	29	5.78	+	5.02	1.03E-12	7.13E-10
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	272	29	5.78	+	5.02	1.03E-12	6.81E-10
oxidative phosphorylation (GO:0006119)	114	12	2.42	+	4.96	5.65E-06	8.56E-04
RNA splicing, via transesterification reactions (GO:0000375)	277	29	5.88	+	4.93	1.63E-12	9.89E-10
aerobic electron transport chain (GO:0019646)	86	9	1.83	+	4.93	8.76E-05	9.50E-03
nucleotide biosynthetic process (GO:0009165)	212	22	4.50	+	4.89	9.89E-10	4.36E-07
ribonucleoprotein complex biogenesis (GO:0022613)	485	50	10.30	+	4.86	1.68E-20	2.71E-17
mRNA transport (GO:0051028)	136	14	2.89	+	4.85	1.24E-06	2.23E-04
ribose phosphate biosynthetic process (GO:0046390)	169	17	3.59	+	4.74	1.27E-07	3.29E-05
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	90	9	1.91	+	4.71	1.25E-04	1.26E-02
ATP synthesis coupled electron transport (GO:0042773)	90	9	1.91	+	4.71	1.25E-04	1.25E-02
RNA transport (GO:0050658)	161	16	3.42	+	4.68	3.51E-07	8.24E-05
nucleic acid transport (GO:0050657)	161	16	3.42	+	4.68	3.51E-07	8.11E-05
nucleoside triphosphate biosynthetic process (GO:0009142)	112	11	2.38	+	4.63	2.67E-05	3.38E-03
establishment of RNA localization (GO:0051236)	163	16	3.46	+	4.62	4.16E-07	9.16E-05
ribonucleotide biosynthetic process (GO:0009260)	163	16	3.46	+	4.62	4.16E-07	9.02E-05
regulation of mRNA splicing, via spliceosome (GO:0048024)	125	12	2.65	+	4.52	1.46E-05	2.00E-03
rRNA processing (GO:0006364)	227	21	4.82	+	4.36	1.86E-08	5.63E-06
RNA export from nucleus (GO:0006405)	87	8	1.85	+	4.33	5.24E-04	4.20E-02
purine-containing compound biosynthetic process (GO:0072522)	242	22	5.14	+	4.28	1.17E-08	3.62E-06
RNA localization (GO:0006403)	189	17	4.01	+	4.24	6.31E-07	1.24E-04
