




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (53)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Factor XII activation (GO:0002542)	2	2	.01	+	 > 100	6.51E-06	1.13E-03
plasma kallikrein-kinin cascade (GO:0002353)	3	2	.01	+	 > 100	1.95E-05	3.00E-03
kinin cascade (GO:0002254)	3	2	.01	+	 > 100	1.95E-05	2.96E-03
positive regulation of fibrinolysis (GO:0051919)	4	2	.01	+	 > 100	3.89E-05	5.63E-03
response to symbiotic bacterium (GO:0009609)	5	2	.01	+	 > 100	6.48E-05	9.01E-03
negative regulation of complement activation (GO:0045916)	14	5	.04	+	 > 100	1.84E-10	7.53E-08
positive regulation of respiratory burst (GO:0060267)	9	3	.02	+	 > 100	1.34E-06	2.57E-04
pre-B cell differentiation (GO:0002329)	6	2	.02	+	 > 100	9.70E-05	1.32E-02
regulation of fibrinolysis (GO:0051917)	17	5	.04	+	 > 100	5.64E-10	1.94E-07
response to symbiont (GO:0009608)	7	2	.02	+	 > 100	1.36E-04	1.79E-02
negative regulation of complement activation, classical pathway (GO:0045959)	7	2	.02	+	 > 100	1.36E-04	1.77E-02
negative regulation of humoral immune response (GO:0002921)	18	5	.05	+	 > 100	7.80E-10	2.56E-07
complement activation, classical pathway (GO:0006958)	37	10	.10	+	 > 100	1.72E-18	5.08E-15
negative regulation of fibrinolysis (GO:0051918)	12	3	.03	+	97.08	3.49E-06	6.36E-04
regulation of complement activation, classical pathway (GO:0030450)	8	2	.02	+	97.08	1.80E-04	2.34E-02
blood coagulation, intrinsic pathway (GO:0007597)	8	2	.02	+	97.08	1.80E-04	2.31E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	42	10	.11	+	92.45	7.20E-18	1.52E-14
complement activation (GO:0006956)	55	13	.14	+	91.78	5.95E-23	4.39E-19
complement activation, lectin pathway (GO:0001867)	13	3	.03	+	89.61	4.53E-06	8.05E-04
protein activation cascade (GO:0072376)	22	5	.06	+	88.25	2.38E-09	6.88E-07
acute-phase response (GO:0006953)	40	9	.10	+	87.37	6.27E-16	1.16E-12
regulation of complement activation (GO:0030449)	23	5	.06	+	84.41	3.03E-09	8.44E-07
blood coagulation, fibrin clot formation (GO:0072378)	19	4	.05	+	81.75	1.48E-07	3.25E-05
fibrinolysis (GO:0042730)	19	4	.05	+	81.75	1.48E-07	3.20E-05
negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)	10	2	.03	+	77.66	2.89E-04	3.52E-02
