




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (403)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
viral RNA genome packaging (GO:0019074)	2	2	.04	+	51.07	3.83E-04	4.96E-02
viral genome packaging (GO:0019072)	2	2	.04	+	51.07	3.83E-04	4.92E-02
isoleucyl-tRNA aminoacylation (GO:0006428)	2	2	.04	+	51.07	3.83E-04	4.88E-02
regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905449)	2	2	.04	+	51.07	3.83E-04	4.83E-02
positive regulation of macropinocytosis (GO:1905303)	2	2	.04	+	51.07	3.83E-04	4.79E-02
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	8	5	.16	+	31.92	1.50E-07	6.60E-05
positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	7	4	.14	+	29.18	4.84E-06	1.28E-03
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	12	6	.23	+	25.53	4.54E-08	2.28E-05
regulation of translation at synapse, modulating synaptic transmission (GO:0099547)	6	3	.12	+	25.53	1.43E-04	2.28E-02
regulation of translation at synapse (GO:0140243)	7	3	.14	+	21.89	2.46E-04	3.51E-02
adiponectin-activated signaling pathway (GO:0033211)	8	3	.16	+	19.15	3.88E-04	4.82E-02
U2-type prespliceosome assembly (GO:1903241)	25	8	.49	+	16.34	1.63E-08	9.48E-06
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	18	5	.35	+	14.19	1.95E-05	4.57E-03
locomotory exploration behavior (GO:0035641)	17	4	.33	+	12.02	2.82E-04	3.94E-02
regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000622)	18	4	.35	+	11.35	3.57E-04	4.71E-02
cotranslational protein targeting to membrane (GO:0006613)	23	5	.45	+	11.10	7.06E-05	1.33E-02
spliceosomal snRNP assembly (GO:0000387)	70	15	1.37	+	10.94	4.99E-12	1.21E-08
spliceosomal tri-snRNP complex assembly (GO:0000244)	38	8	.74	+	10.75	5.90E-07	2.09E-04
