




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (44)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of complement activation, lectin pathway (GO:0001869)	2	2	.00	+	 > 100	4.47E-06	9.84E-04
regulation of complement activation, lectin pathway (GO:0001868)	2	2	.00	+	 > 100	4.47E-06	9.69E-04
positive regulation of activation of membrane attack complex (GO:0001970)	3	2	.01	+	 > 100	1.34E-05	2.63E-03
vertebrate eye-specific patterning (GO:0150064)	3	2	.01	+	 > 100	1.34E-05	2.60E-03
positive regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904237)	3	2	.01	+	 > 100	1.34E-05	2.56E-03
regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904235)	3	2	.01	+	 > 100	1.34E-05	2.53E-03
complement-dependent cytotoxicity (GO:0097278)	3	2	.01	+	 > 100	1.34E-05	2.50E-03
regulation of activation of membrane attack complex (GO:0001969)	5	3	.01	+	 > 100	9.09E-08	2.74E-05
complement-mediated synapse pruning (GO:0150062)	4	2	.01	+	 > 100	2.67E-05	4.48E-03
complement activation, GZMK pathway (GO:0160257)	12	5	.03	+	 > 100	2.77E-11	1.57E-08
positive regulation of apoptotic cell clearance (GO:2000427)	8	3	.02	+	 > 100	5.07E-07	1.31E-04
complement activation, lectin pathway (GO:0001867)	13	4	.03	+	 > 100	1.28E-08	4.30E-06
regulation of apoptotic cell clearance (GO:2000425)	10	3	.02	+	 > 100	1.08E-06	2.75E-04
complement activation, classical pathway (GO:0006958)	37	11	.08	+	 > 100	9.01E-22	6.64E-18
positive regulation of complement activation (GO:0045917)	7	2	.01	+	 > 100	9.32E-05	1.43E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	42	11	.09	+	 > 100	4.48E-21	1.65E-17
regulation of complement activation (GO:0030449)	23	6	.05	+	 > 100	6.58E-12	4.62E-09
negative regulation of fibrinolysis (GO:0051918)	12	3	.03	+	 > 100	1.98E-06	4.79E-04
regulation of complement-dependent cytotoxicity (GO:1903659)	9	2	.02	+	 > 100	1.59E-04	2.33E-02
complement activation (GO:0006956)	55	12	.12	+	 > 100	7.24E-22	1.07E-17
negative regulation of complement activation (GO:0045916)	14	3	.03	+	 > 100	3.26E-06	7.41E-04
fibrinolysis (GO:0042730)	19	4	.04	+	98.47	6.88E-08	2.16E-05
synapse pruning (GO:0098883)	10	2	.02	+	93.55	1.99E-04	2.82E-02
complement activation, alternative pathway (GO:0006957)	16	3	.03	+	87.70	5.01E-06	1.07E-03
cytolysis by host of symbiont cells (GO:0051838)	11	2	.02	+	85.04	2.43E-04	3.35E-02
opsonization (GO:0008228)	11	2	.02	+	85.04	2.43E-04	3.32E-02
regulation of fibrinolysis (GO:0051917)	17	3	.04	+	82.54	6.07E-06	1.28E-03
negative regulation of humoral immune response (GO:0002921)	18	3	.04	+	77.95	7.28E-06	1.49E-03
positive regulation of hemostasis (GO:1900048)	26	4	.06	+	71.96	2.62E-07	7.59E-05
positive regulation of blood coagulation (GO:0030194)	26	4	.06	+	71.96	2.62E-07	7.45E-05
acute-phase response (GO:0006953)	40	6	.09	+	70.16	2.43E-10	1.24E-07
regulation of humoral immune response (GO:0002920)	47	7	.10	+	69.66	7.30E-12	4.68E-09
positive regulation of humoral immune response (GO:0002922)	22	3	.05	+	63.78	1.36E-05	2.52E-03
positive regulation of coagulation (GO:0050820)	30	4	.06	+	62.36	4.78E-07	1.26E-04
acute inflammatory response (GO:0002526)	73	8	.16	+	51.26	2.70E-12	2.34E-09
regulation of blood coagulation (GO:0030193)	68	6	.15	+	41.27	6.64E-09	2.58E-06
antibacterial humoral response (GO:0019731)	68	6	.15	+	41.27	6.64E-09	2.51E-06
negative regulation of blood coagulation (GO:0030195)	46	4	.10	+	40.67	2.78E-06	6.50E-04
regulation of hemostasis (GO:1900046)	70	6	.15	+	40.09	7.93E-09	2.85E-06
negative regulation of hemostasis (GO:1900047)	47	4	.10	+	39.81	3.03E-06	6.99E-04
biological process involved in interaction with symbiont (GO:0051702)	36	3	.08	+	38.98	6.20E-05	9.83E-03
negative regulation of coagulation (GO:0050819)	49	4	.10	+	38.18	3.59E-06	8.02E-04
regulation of coagulation (GO:0050818)	75	6	.16	+	37.42	1.21E-08	4.15E-06
B cell receptor signaling pathway (GO:0050853)	57	4	.12	+	32.82	6.61E-06	1.37E-03
positive regulation of wound healing (GO:0090303)	63	4	.13	+	29.70	9.87E-06	2.00E-03
humoral immune response (GO:0006959)	273	17	.58	+	29.13	3.68E-21	1.81E-17
immunoglobulin mediated immune response (GO:0016064)	183	11	.39	+	28.11	1.21E-13	1.98E-10
negative regulation of wound healing (GO:0061045)	67	4	.14	+	27.92	1.26E-05	2.52E-03
B cell mediated immunity (GO:0019724)	188	11	.40	+	27.37	1.62E-13	2.18E-10
positive regulation of response to wounding (GO:1903036)	71	4	.15	+	26.35	1.59E-05	2.90E-03
positive regulation of receptor-mediated endocytosis (GO:0048260)	54	3	.12	+	25.98	2.10E-04	2.92E-02
antimicrobial humoral response (GO:0019730)	168	8	.36	+	22.27	2.30E-09	9.71E-07
regulation of wound healing (GO:0061041)	131	6	.28	+	21.42	3.43E-07	9.38E-05
negative regulation of response to wounding (GO:1903035)	91	4	.19	+	20.56	4.24E-05	6.88E-03
blood coagulation (GO:0007596)	191	8	.41	+	19.59	6.33E-09	2.52E-06
lymphocyte mediated immunity (GO:0002449)	264	11	.56	+	19.49	6.63E-12	4.45E-09
