




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (437)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
3'(2'),5'-bisphosphate nucleotidase activity (GO:0008441)	2	2	.04	+	47.09	4.50E-04	3.07E-02
isoleucine-tRNA ligase activity (GO:0004822)	2	2	.04	+	47.09	4.50E-04	3.03E-02
U4 snRNA binding (GO:0030621)	6	3	.13	+	23.55	1.81E-04	1.48E-02
laminin-1 binding (GO:0043237)	7	3	.15	+	20.18	3.12E-04	2.29E-02
U1 snRNA binding (GO:0030619)	7	3	.15	+	20.18	3.12E-04	2.25E-02
RNA polymerase inhibitor activity (GO:0140870)	8	3	.17	+	17.66	4.92E-04	3.23E-02
double-stranded telomeric DNA binding (GO:0003691)	9	3	.19	+	15.70	7.26E-04	4.59E-02
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	41	9	.87	+	10.34	1.55E-07	2.56E-05
single-stranded DNA helicase activity (GO:0017116)	23	5	.49	+	10.24	1.04E-04	9.31E-03
snoRNA binding (GO:0030515)	30	6	.64	+	9.42	3.41E-05	3.36E-03
structural constituent of nuclear pore (GO:0017056)	25	5	.53	+	9.42	1.58E-04	1.33E-02
snRNA binding (GO:0017069)	46	8	.98	+	8.19	4.99E-06	6.39E-04
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	65	10	1.38	+	7.25	1.06E-06	1.55E-04
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	40	6	.85	+	7.06	1.84E-04	1.48E-02
ligase activity, forming carbon-oxygen bonds (GO:0016875)	41	6	.87	+	6.89	2.12E-04	1.65E-02
aminoacyl-tRNA ligase activity (GO:0004812)	41	6	.87	+	6.89	2.12E-04	1.62E-02
cis-trans isomerase activity (GO:0016859)	43	6	.91	+	6.57	2.78E-04	2.06E-02
translation initiation factor activity (GO:0003743)	51	7	1.08	+	6.46	9.59E-05	8.93E-03
electron transfer activity (GO:0009055)	113	14	2.40	+	5.83	1.25E-07	2.13E-05
tRNA binding (GO:0000049)	81	10	1.72	+	5.81	8.23E-06	9.81E-04
DNA helicase activity (GO:0003678)	63	7	1.34	+	5.23	3.68E-04	2.62E-02
active monoatomic ion transmembrane transporter activity (GO:0022853)	115	12	2.44	+	4.91	6.19E-06	7.74E-04
helicase activity (GO:0004386)	148	14	3.14	+	4.45	3.41E-06	4.60E-04
nucleic acid conformation isomerase activity (GO:0120545)	159	15	3.38	+	4.44	1.58E-06	2.25E-04
primary active transmembrane transporter activity (GO:0015399)	164	14	3.48	+	4.02	1.12E-05	1.25E-03
