




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (53)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of thrombin-activated receptor signaling pathway (GO:0070495)	3	2	.01	+	 > 100	1.95E-05	7.08E-03
regulation of thrombin-activated receptor signaling pathway (GO:0070494)	3	2	.01	+	 > 100	1.95E-05	6.91E-03
nitric oxide transport (GO:0030185)	4	2	.01	+	 > 100	3.89E-05	1.07E-02
hydrogen peroxide catabolic process (GO:0042744)	20	7	.05	+	 > 100	3.76E-14	5.46E-10
response to vitamin E (GO:0033197)	7	2	.02	+	 > 100	1.36E-04	2.21E-02
viral RNA genome replication (GO:0039694)	7	2	.02	+	 > 100	1.36E-04	2.19E-02
carbon dioxide transport (GO:0015670)	14	4	.04	+	 > 100	3.85E-08	5.09E-05
negative regulation of plasminogen activation (GO:0010757)	7	2	.02	+	 > 100	1.36E-04	2.16E-02
positive regulation of protein K63-linked ubiquitination (GO:1902523)	8	2	.02	+	97.08	1.80E-04	2.55E-02
engulfment of apoptotic cell (GO:0043652)	9	2	.02	+	86.29	2.32E-04	2.93E-02
oxygen transport (GO:0015671)	14	3	.04	+	83.21	5.75E-06	2.88E-03
hydrogen peroxide metabolic process (GO:0042743)	35	7	.09	+	77.66	3.17E-12	2.30E-08
gas transport (GO:0015669)	21	4	.05	+	73.96	2.27E-07	2.36E-04
regulation of hydrogen peroxide metabolic process (GO:0010310)	17	3	.04	+	68.52	1.07E-05	4.44E-03
negative regulation of fibrinolysis (GO:0051918)	12	2	.03	+	64.72	4.22E-04	4.45E-02
modification of postsynaptic actin cytoskeleton (GO:0098885)	12	2	.03	+	64.72	4.22E-04	4.42E-02
