




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (53)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
haptoglobin binding (GO:0031720)	2	2	.01	+	 > 100	6.51E-06	2.78E-03
peptidyl-cysteine S-nitrosylase activity (GO:0035605)	3	2	.01	+	 > 100	1.95E-05	6.24E-03
hemoglobin alpha binding (GO:0031721)	5	2	.01	+	 > 100	6.48E-05	1.84E-02
peroxiredoxin activity (GO:0051920)	8	3	.02	+	 > 100	8.95E-07	5.73E-04
thioredoxin peroxidase activity (GO:0008379)	6	2	.02	+	 > 100	9.70E-05	2.16E-02
thioredoxin-dependent peroxiredoxin activity (GO:0140824)	6	2	.02	+	 > 100	9.70E-05	2.07E-02
oxygen carrier activity (GO:0005344)	13	3	.03	+	89.61	4.53E-06	2.11E-03
hemoglobin binding (GO:0030492)	9	2	.02	+	86.29	2.32E-04	4.40E-02
carbonyl reductase (NADPH) activity (GO:0004090)	10	2	.03	+	77.66	2.89E-04	5.11E-02
thioesterase binding (GO:0031996)	10	2	.03	+	77.66	2.89E-04	4.94E-02
peroxidase activity (GO:0004601)	48	7	.12	+	56.63	3.38E-11	8.66E-08
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	50	7	.13	+	54.36	4.57E-11	7.80E-08
antioxidant activity (GO:0016209)	76	8	.20	+	40.87	1.84E-11	9.41E-08
oxygen binding (GO:0019825)	31	3	.08	+	37.58	6.89E-05	1.86E-02
ubiquitin conjugating enzyme activity (GO:0061631)	36	3	.09	+	32.36	1.08E-04	2.22E-02
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	42	3	.11	+	27.74	1.72E-04	3.40E-02
G protein activity (GO:0003925)	118	4	.30	+	13.16	2.42E-04	4.43E-02
endopeptidase regulator activity (GO:0061135)	200	6	.52	+	11.65	1.23E-05	4.49E-03
endopeptidase inhibitor activity (GO:0004866)	171	5	.44	+	11.35	7.76E-05	1.99E-02
peptidase inhibitor activity (GO:0030414)	179	5	.46	+	10.85	9.63E-05	2.24E-02
peptidase regulator activity (GO:0061134)	237	6	.61	+	9.83	3.20E-05	9.64E-03
cadherin binding (GO:0045296)	325	8	.84	+	9.56	1.70E-06	9.65E-04
ubiquitin protein ligase binding (GO:0031625)	292	7	.75	+	9.31	9.50E-06	3.74E-03
ubiquitin-like protein ligase binding (GO:0044389)	312	7	.80	+	8.71	1.46E-05	4.99E-03
oxidoreductase activity (GO:0016491)	679	15	1.75	+	8.58	1.00E-10	1.28E-07
cell adhesion molecule binding (GO:0050839)	634	11	1.63	+	6.74	5.11E-07	3.74E-04
protein-containing complex binding (GO:0044877)	1291	14	3.32	+	4.21	3.24E-06	1.66E-03
enzyme binding (GO:0019899)	2103	21	5.42	+	3.88	1.79E-08	1.83E-05
catalytic activity (GO:0003824)	5615	33	14.46	+	2.28	1.48E-07	1.26E-04
protein binding (GO:0005515)	14765	50	38.02	+	1.31	8.31E-05	2.03E-02
