




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
sulfide oxidation (GO:0019418)	3	3	.43	+	6.93	3.00E-03	3.12E-02
isoprenoid biosynthetic process via mevalonate (GO:1902767)	3	3	.43	+	6.93	3.00E-03	3.12E-02
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	3	3	.43	+	6.93	3.00E-03	3.11E-02
adenine metabolic process (GO:0046083)	3	3	.43	+	6.93	3.00E-03	3.11E-02
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	3	3	.43	+	6.93	3.00E-03	3.11E-02
sesquiterpenoid metabolic process (GO:0006714)	3	3	.43	+	6.93	3.00E-03	3.11E-02
cytoplasmic translational elongation (GO:0002182)	3	3	.43	+	6.93	3.00E-03	3.11E-02
asparaginyl-tRNA aminoacylation (GO:0006421)	3	3	.43	+	6.93	3.00E-03	3.10E-02
tRNA export from nucleus (GO:0006409)	3	3	.43	+	6.93	3.00E-03	3.10E-02
protein catabolic process at postsynapse (GO:0140249)	3	3	.43	+	6.93	3.00E-03	3.10E-02
protein catabolic process at synapse (GO:0140246)	3	3	.43	+	6.93	3.00E-03	3.10E-02
dAMP salvage (GO:0106383)	3	3	.43	+	6.93	3.00E-03	3.09E-02
purine deoxyribonucleotide salvage (GO:0106381)	3	3	.43	+	6.93	3.00E-03	3.09E-02
regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578)	3	3	.43	+	6.93	3.00E-03	3.09E-02
2-oxoglutarate decarboxylation to succinyl-CoA (GO:0120551)	3	3	.43	+	6.93	3.00E-03	3.09E-02
dAMP biosynthetic process (GO:0006170)	3	3	.43	+	6.93	3.00E-03	3.09E-02
viral translational termination-reinitiation (GO:0075525)	5	5	.72	+	6.93	6.22E-05	1.12E-03
isocitrate metabolic process (GO:0006102)	5	5	.72	+	6.93	6.22E-05	1.12E-03
proteasome regulatory particle assembly (GO:0070682)	3	3	.43	+	6.93	3.00E-03	3.08E-02
protein localization to nuclear pore (GO:0090204)	3	3	.43	+	6.93	3.00E-03	3.08E-02
dendritic transport of messenger ribonucleoprotein complex (GO:0098963)	3	3	.43	+	6.93	3.00E-03	3.08E-02
symbiont-mediated disruption of host cell PML body (GO:0075342)	3	3	.43	+	6.93	3.00E-03	3.08E-02
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	3	3	.43	+	6.93	3.00E-03	3.08E-02
COPI-coated vesicle budding (GO:0035964)	6	6	.87	+	6.93	8.96E-06	1.93E-04
protein peptidyl-prolyl isomerization (GO:0000413)	3	3	.43	+	6.93	3.00E-03	3.07E-02
sulfide oxidation, using sulfide:quinone oxidoreductase (GO:0070221)	3	3	.43	+	6.93	3.00E-03	3.07E-02
COPI coating of Golgi vesicle (GO:0048205)	6	6	.87	+	6.93	8.96E-06	1.93E-04
Golgi transport vesicle coating (GO:0048200)	6	6	.87	+	6.93	8.96E-06	1.92E-04
positive regulation of connective tissue replacement (GO:1905205)	3	3	.43	+	6.93	3.00E-03	3.07E-02
vitamin B6 biosynthetic process (GO:0042819)	3	3	.43	+	6.93	3.00E-03	3.07E-02
ribosomal large subunit export from nucleus (GO:0000055)	6	6	.87	+	6.93	8.96E-06	1.92E-04
protein targeting to lysosome involved in chaperone-mediated autophagy (GO:0061740)	3	3	.43	+	6.93	3.00E-03	3.06E-02
GDP-mannose biosynthetic process from mannose (GO:0061728)	3	3	.43	+	6.93	3.00E-03	3.06E-02
purine deoxyribonucleoside monophosphate biosynthetic process (GO:0009171)	3	3	.43	+	6.93	3.00E-03	3.06E-02
hydroxylysine biosynthetic process (GO:0046947)	3	3	.43	+	6.93	3.00E-03	3.06E-02
hydroxylysine metabolic process (GO:0046946)	3	3	.43	+	6.93	3.00E-03	3.06E-02
detoxification of hydrogen peroxide (GO:0061691)	3	3	.43	+	6.93	3.00E-03	3.05E-02
negative regulation of RNA export from nucleus (GO:0046832)	3	3	.43	+	6.93	3.00E-03	3.05E-02
fungiform papilla formation (GO:0061198)	3	3	.43	+	6.93	3.00E-03	3.05E-02
establishment of protein localization to endoplasmic reticulum membrane (GO:0097051)	3	3	.43	+	6.93	3.00E-03	3.05E-02
positive regulation of endoplasmic reticulum tubular network organization (GO:1903373)	3	3	.43	+	6.93	3.00E-03	3.05E-02
regulation of endoplasmic reticulum tubular network organization (GO:1903371)	5	5	.72	+	6.93	6.22E-05	1.12E-03
nucleokinesis involved in cell motility in cerebral cortex radial glia guided migration (GO:0021817)	3	3	.43	+	6.93	3.00E-03	3.04E-02
terminal web assembly (GO:1902896)	3	3	.43	+	6.93	3.00E-03	3.04E-02
ITP metabolic process (GO:0046041)	4	4	.58	+	6.93	4.32E-04	6.17E-03
mRNA alternative polyadenylation (GO:0110104)	4	4	.58	+	6.93	4.32E-04	6.16E-03
regulation of angiotensin-activated signaling pathway (GO:0110061)	4	4	.58	+	6.93	4.32E-04	6.16E-03
protein localization to cell leading edge (GO:1902463)	4	4	.58	+	6.93	4.32E-04	6.15E-03
astrocyte activation involved in immune response (GO:0002265)	4	4	.58	+	6.93	4.32E-04	6.14E-03
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	4	4	.58	+	6.93	4.32E-04	6.14E-03
L-serine biosynthetic process (GO:0006564)	4	4	.58	+	6.93	4.32E-04	6.13E-03
mitochondrial potassium ion transmembrane transport (GO:0140141)	4	4	.58	+	6.93	4.32E-04	6.13E-03
branched-chain alpha-keto acid decarboxylation to branched-chain acyl-CoA (GO:0120552)	4	4	.58	+	6.93	4.32E-04	6.12E-03
citrate metabolic process (GO:0006101)	4	4	.58	+	6.93	4.32E-04	6.12E-03
regulation of Golgi inheritance (GO:0090170)	4	4	.58	+	6.93	4.32E-04	6.11E-03
positive regulation of plasma membrane repair (GO:1905686)	4	4	.58	+	6.93	4.32E-04	6.10E-03
positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	9	9	1.30	+	6.93	2.67E-08	8.49E-07
mitochondrial translational elongation (GO:0070125)	4	4	.58	+	6.93	4.32E-04	6.10E-03
pentose-phosphate shunt, oxidative branch (GO:0009051)	4	4	.58	+	6.93	4.32E-04	6.09E-03
formation of cytoplasmic translation initiation complex (GO:0001732)	15	14	2.16	+	6.47	2.13E-11	1.05E-09
IRES-dependent viral translational initiation (GO:0075522)	11	10	1.59	+	6.30	3.67E-08	1.15E-06
ESCRT III complex disassembly (GO:1904903)	10	9	1.44	+	6.24	2.33E-07	6.79E-06
ESCRT complex disassembly (GO:1904896)	10	9	1.44	+	6.24	2.33E-07	6.78E-06
purine nucleobase biosynthetic process (GO:0009113)	10	9	1.44	+	6.24	2.33E-07	6.77E-06
nucleobase biosynthetic process (GO:0046112)	18	16	2.60	+	6.16	3.87E-12	2.18E-10
malate-aspartate shuttle (GO:0043490)	9	8	1.30	+	6.16	1.46E-06	3.66E-05
cytosolic ribosome assembly (GO:0042256)	9	8	1.30	+	6.16	1.46E-06	3.66E-05
postsynaptic endocytosis (GO:0140239)	8	7	1.15	+	6.07	9.02E-06	1.93E-04
neurotransmitter receptor internalization (GO:0099590)	8	7	1.15	+	6.07	9.02E-06	1.93E-04
postsynaptic neurotransmitter receptor internalization (GO:0098884)	8	7	1.15	+	6.07	9.02E-06	1.93E-04
pyrimidine nucleobase biosynthetic process (GO:0019856)	8	7	1.15	+	6.07	9.02E-06	1.92E-04
protein localization to cytoplasmic stress granule (GO:1903608)	8	7	1.15	+	6.07	9.02E-06	1.92E-04
regulation of microvillus length (GO:0032532)	7	6	1.01	+	5.94	5.50E-05	1.01E-03
purine ribonucleoside salvage (GO:0006166)	7	6	1.01	+	5.94	5.50E-05	1.01E-03
RNA polymerase II promoter clearance (GO:0001111)	7	6	1.01	+	5.94	5.50E-05	1.01E-03
promoter clearance during DNA-templated transcription (GO:0001109)	7	6	1.01	+	5.94	5.50E-05	1.01E-03
ribosomal small subunit export from nucleus (GO:0000056)	7	6	1.01	+	5.94	5.50E-05	1.01E-03
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042)	7	6	1.01	+	5.94	5.50E-05	1.01E-03
amyloid-beta clearance by transcytosis (GO:0150093)	7	6	1.01	+	5.94	5.50E-05	1.00E-03
cytoplasmic translation (GO:0002181)	134	113	19.33	+	5.85	1.12E-73	8.28E-71
protein localization to bicellular tight junction (GO:1902396)	6	5	.87	+	5.78	3.28E-04	4.90E-03
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	6	5	.87	+	5.78	3.28E-04	4.89E-03
regulation of translation at synapse, modulating synaptic transmission (GO:0099547)	6	5	.87	+	5.78	3.28E-04	4.89E-03
