




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
laminin-11 complex (GO:0043260)	3	3	.43	+	6.93	3.00E-03	1.31E-02
laminin-10 complex (GO:0043259)	3	3	.43	+	6.93	3.00E-03	1.30E-02
PeBoW complex (GO:0070545)	3	3	.43	+	6.93	3.00E-03	1.30E-02
postsynaptic early endosome (GO:0098842)	5	5	.72	+	6.93	6.22E-05	4.01E-04
nuclear pore inner ring (GO:0044611)	3	3	.43	+	6.93	3.00E-03	1.30E-02
ESCRT II complex (GO:0000814)	3	3	.43	+	6.93	3.00E-03	1.30E-02
succinate-CoA ligase complex (GO:0042709)	3	3	.43	+	6.93	3.00E-03	1.29E-02
nitric-oxide synthase complex (GO:1903958)	3	3	.43	+	6.93	3.00E-03	1.29E-02
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	7	7	1.01	+	6.93	1.29E-06	1.09E-05
6-phosphofructokinase complex (GO:0005945)	3	3	.43	+	6.93	3.00E-03	1.29E-02
supraspliceosomal complex (GO:0044530)	3	3	.43	+	6.93	3.00E-03	1.28E-02
EARP complex (GO:1990745)	5	5	.72	+	6.93	6.22E-05	4.00E-04
proteasome regulatory particle, base subcomplex (GO:0008540)	12	12	1.73	+	6.93	7.94E-11	1.01E-09
proteasome activator complex (GO:0008537)	3	3	.43	+	6.93	3.00E-03	1.28E-02
Ski complex (GO:0055087)	3	3	.43	+	6.93	3.00E-03	1.28E-02
oxoadipate dehydrogenase complex (GO:0160167)	3	3	.43	+	6.93	3.00E-03	1.28E-02
endosome to plasma membrane transport vesicle (GO:0070381)	3	3	.43	+	6.93	3.00E-03	1.27E-02
signal recognition particle (GO:0048500)	6	6	.87	+	6.93	8.96E-06	6.82E-05
isocitrate dehydrogenase complex (NAD+) (GO:0045242)	3	3	.43	+	6.93	3.00E-03	1.27E-02
eukaryotic translation initiation factor 2B complex (GO:0005851)	5	5	.72	+	6.93	6.22E-05	3.99E-04
myosin II filament (GO:0097513)	3	3	.43	+	6.93	3.00E-03	1.27E-02
integrin alpha2-beta1 complex (GO:0034666)	3	3	.43	+	6.93	3.00E-03	1.27E-02
ESCRT-0 complex (GO:0033565)	3	3	.43	+	6.93	3.00E-03	1.26E-02
UBC13-MMS2 complex (GO:0031372)	3	3	.43	+	6.93	3.00E-03	1.26E-02
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	6	6	.87	+	6.93	8.96E-06	6.80E-05
U4/U6 snRNP (GO:0071001)	3	3	.43	+	6.93	3.00E-03	1.26E-02
ASAP complex (GO:0061574)	4	4	.58	+	6.93	4.32E-04	2.41E-03
branched-chain alpha-ketoacid dehydrogenase complex (GO:0160157)	4	4	.58	+	6.93	4.32E-04	2.40E-03
Arp2/3 protein complex (GO:0005885)	9	9	1.30	+	6.93	2.67E-08	2.75E-07
retromer, cargo-selective complex (GO:0030906)	4	4	.58	+	6.93	4.32E-04	2.39E-03
retromer, tubulation complex (GO:0030905)	4	4	.58	+	6.93	4.32E-04	2.39E-03
GAIT complex (GO:0097452)	4	4	.58	+	6.93	4.32E-04	2.38E-03
proteasome accessory complex (GO:0022624)	25	24	3.61	+	6.66	1.30E-19	2.48E-18
proteasome regulatory particle (GO:0005838)	22	21	3.17	+	6.62	3.90E-17	6.73E-16
eukaryotic translation initiation factor 3 complex (GO:0005852)	16	15	2.31	+	6.50	3.26E-12	4.54E-11
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	11	10	1.59	+	6.30	3.67E-08	3.69E-07
nuclear pore outer ring (GO:0031080)	10	9	1.44	+	6.24	2.33E-07	2.18E-06
eukaryotic 48S preinitiation complex (GO:0033290)	17	15	2.45	+	6.12	2.40E-11	3.14E-10
