




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
endoplasmic reticulum signal peptide binding (GO:0030942)	3	3	.43	+	6.93	3.00E-03	3.62E-02
RNA strand annealing activity (GO:0033592)	5	5	.72	+	6.93	6.22E-05	1.21E-03
phosphoglucomutase activity (GO:0004614)	3	3	.43	+	6.93	3.00E-03	3.61E-02
ATP-dependent FeS chaperone activity (GO:0140663)	3	3	.43	+	6.93	3.00E-03	3.60E-02
dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)	5	5	.72	+	6.93	6.22E-05	1.20E-03
oligosaccharyl transferase activity (GO:0004576)	5	5	.72	+	6.93	6.22E-05	1.20E-03
S-acetyltransferase activity (GO:0016418)	3	3	.43	+	6.93	3.00E-03	3.59E-02
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	3	3	.43	+	6.93	3.00E-03	3.58E-02
isocitrate dehydrogenase [NAD(P)+] activity (GO:0004448)	5	5	.72	+	6.93	6.22E-05	1.19E-03
acetyl-CoA C-acyltransferase activity (GO:0003988)	7	7	1.01	+	6.93	1.29E-06	3.79E-05
acetyl-CoA C-acetyltransferase activity (GO:0003985)	6	6	.87	+	6.93	8.96E-06	2.11E-04
U5 snRNA binding (GO:0030623)	3	3	.43	+	6.93	3.00E-03	3.57E-02
U4atac snRNA binding (GO:0030622)	3	3	.43	+	6.93	3.00E-03	3.57E-02
U4 snRNA binding (GO:0030621)	6	6	.87	+	6.93	8.96E-06	2.10E-04
6-phosphofructokinase activity (GO:0003872)	3	3	.43	+	6.93	3.00E-03	3.56E-02
(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity (GO:0003857)	6	6	.87	+	6.93	8.96E-06	2.09E-04
cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	5	5	.72	+	6.93	6.22E-05	1.19E-03
purine nucleobase binding (GO:0002060)	3	3	.43	+	6.93	3.00E-03	3.55E-02
deoxyadenosine kinase activity (GO:0004136)	3	3	.43	+	6.93	3.00E-03	3.54E-02
pyrimidine ribonucleotide binding (GO:0032557)	3	3	.43	+	6.93	3.00E-03	3.53E-02
procollagen-lysine 5-dioxygenase activity (GO:0008475)	3	3	.43	+	6.93	3.00E-03	3.53E-02
thioredoxin peroxidase activity (GO:0008379)	6	6	.87	+	6.93	8.96E-06	2.08E-04
7S RNA binding (GO:0008312)	7	7	1.01	+	6.93	1.29E-06	3.77E-05
small protein activating enzyme binding (GO:0044388)	5	5	.72	+	6.93	6.22E-05	1.18E-03
supercoiled DNA binding (GO:0097100)	5	5	.72	+	6.93	6.22E-05	1.18E-03
nitric-oxide synthase inhibitor activity (GO:0036487)	3	3	.43	+	6.93	3.00E-03	3.52E-02
proteasome-activating activity (GO:0036402)	6	6	.87	+	6.93	8.96E-06	2.07E-04
ubiquitin activating enzyme activity (GO:0004839)	3	3	.43	+	6.93	3.00E-03	3.51E-02
thioredoxin-dependent peroxiredoxin activity (GO:0140824)	6	6	.87	+	6.93	8.96E-06	2.06E-04
acetyl-CoA C-myristoyltransferase activity (GO:0050633)	3	3	.43	+	6.93	3.00E-03	3.50E-02
phosphotransferase activity, carboxyl group as acceptor (GO:0016774)	3	3	.43	+	6.93	3.00E-03	3.49E-02
succinate-CoA ligase activity (GO:0004774)	3	3	.43	+	6.93	3.00E-03	3.49E-02
stalled ribosome sensor activity (GO:0170011)	4	4	.58	+	6.93	4.32E-04	6.74E-03
peroxiredoxin activity (GO:0051920)	8	8	1.15	+	6.93	1.86E-07	5.94E-06
delta(3)-delta(2)-enoyl-CoA isomerase activity (GO:0004165)	4	4	.58	+	6.93	4.32E-04	6.72E-03
palmitoyl-CoA ligase activity (GO:0090433)	4	4	.58	+	6.93	4.32E-04	6.70E-03
RISC complex binding (GO:1905172)	4	4	.58	+	6.93	4.32E-04	6.68E-03
ubiquitin ligase complex scaffold activity (GO:0160072)	8	7	1.15	+	6.07	9.02E-06	2.07E-04
C-acetyltransferase activity (GO:0016453)	7	6	1.01	+	5.94	5.50E-05	1.10E-03
U1 snRNP binding (GO:1990446)	7	6	1.01	+	5.94	5.50E-05	1.09E-03
porin activity (GO:0015288)	6	5	.87	+	5.78	3.28E-04	5.35E-03
WD40-repeat domain binding (GO:0071987)	6	5	.87	+	5.78	3.28E-04	5.34E-03
acyltransferase activity, acyl groups converted into alkyl on transfer (GO:0046912)	5	4	.72	+	5.55	1.91E-03	2.46E-02
snRNP binding (GO:0070990)	10	8	1.44	+	5.55	6.35E-06	1.56E-04
serine-type carboxypeptidase activity (GO:0004185)	5	4	.72	+	5.55	1.91E-03	2.45E-02
U6 snRNA binding (GO:0017070)	14	11	2.02	+	5.45	1.32E-07	4.32E-06
ligase activity, forming carbon-oxygen bonds (GO:0016875)	41	32	5.91	+	5.41	9.73E-20	7.78E-18
aminoacyl-tRNA ligase activity (GO:0004812)	41	32	5.91	+	5.41	9.73E-20	7.66E-18
aldehyde-lyase activity (GO:0016832)	9	7	1.30	+	5.39	3.55E-05	7.38E-04
poly(G) binding (GO:0034046)	8	6	1.15	+	5.20	1.93E-04	3.36E-03
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	8	6	1.15	+	5.20	1.93E-04	3.34E-03
acyl-CoA dehydrogenase activity (GO:0003995)	12	9	1.73	+	5.20	3.88E-06	9.92E-05
oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor (GO:0052890)	12	9	1.73	+	5.20	3.88E-06	9.88E-05
small ribosomal subunit rRNA binding (GO:0070181)	8	6	1.15	+	5.20	1.93E-04	3.33E-03
metallochaperone activity (GO:0016530)	15	11	2.16	+	5.08	4.29E-07	1.33E-05
U3 snoRNA binding (GO:0034511)	11	8	1.59	+	5.04	2.03E-05	4.43E-04
translation initiation factor activity (GO:0003743)	51	37	7.36	+	5.03	1.01E-20	8.44E-19
copper chaperone activity (GO:0016531)	7	5	1.01	+	4.95	1.01E-03	1.43E-02
U1 snRNA binding (GO:0030619)	7	5	1.01	+	4.95	1.01E-03	1.42E-02
ATP-dependent peptidase activity (GO:0004176)	7	5	1.01	+	4.95	1.01E-03	1.42E-02
ligase activity, forming carbon-carbon bonds (GO:0016885)	7	5	1.01	+	4.95	1.01E-03	1.42E-02
ubiquitin-like modifier activating enzyme activity (GO:0008641)	10	7	1.44	+	4.85	1.03E-04	1.87E-03
nitric-oxide synthase regulator activity (GO:0030235)	10	7	1.44	+	4.85	1.03E-04	1.86E-03
NAD binding (GO:0051287)	53	37	7.64	+	4.84	8.56E-20	6.96E-18
structural constituent of ribosome (GO:0003735)	165	115	23.80	+	4.83	1.01E-58	3.05E-56
aminoacyl-tRNA deacylase activity (GO:0002161)	13	9	1.87	+	4.80	1.10E-05	2.50E-04
ubiquitin-protein transferase inhibitor activity (GO:0055105)	16	11	2.31	+	4.77	1.19E-06	3.57E-05
structural constituent of nuclear pore (GO:0017056)	25	17	3.61	+	4.72	1.64E-09	6.88E-08
cadherin binding (GO:0045296)	325	220	46.87	+	4.69	5.77E-108	4.92E-105
nuclear export signal receptor activity (GO:0005049)	12	8	1.73	+	4.62	5.32E-05	1.08E-03
mRNA 5'-UTR binding (GO:0048027)	24	16	3.46	+	4.62	7.81E-09	2.96E-07
ubiquitin ligase inhibitor activity (GO:1990948)	12	8	1.73	+	4.62	5.32E-05	1.08E-03
RNA 7-methylguanosine cap binding (GO:0000340)	12	8	1.73	+	4.62	5.32E-05	1.07E-03
arachidonate-CoA ligase activity (GO:0047676)	11	7	1.59	+	4.41	2.49E-04	4.15E-03
D-glucose binding (GO:0005536)	11	7	1.59	+	4.41	2.49E-04	4.14E-03
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	41	26	5.91	+	4.40	8.53E-13	4.70E-11
nucleosomal DNA binding (GO:0031492)	41	26	5.91	+	4.40	8.53E-13	4.65E-11
translation factor activity (GO:0180051)	84	53	12.11	+	4.37	1.62E-24	1.53E-22
malate dehydrogenase activity (GO:0016615)	8	5	1.15	+	4.33	2.38E-03	2.97E-02
nucleoside binding (GO:0001882)	8	5	1.15	+	4.33	2.38E-03	2.96E-02
epoxide hydrolase activity (GO:0004301)	8	5	1.15	+	4.33	2.38E-03	2.95E-02
nucleocytoplasmic carrier activity (GO:0140142)	32	20	4.61	+	4.33	5.58E-10	2.40E-08
ligase activity, forming phosphoric ester bonds (GO:0016886)	8	5	1.15	+	4.33	2.38E-03	2.95E-02
hydroxymethyl-, formyl- and related transferase activity (GO:0016742)	8	5	1.15	+	4.33	2.38E-03	2.94E-02
thiamine pyrophosphate binding (GO:0030976)	8	5	1.15	+	4.33	2.38E-03	2.93E-02
lncRNA binding (GO:0106222)	26	16	3.75	+	4.27	4.22E-08	1.47E-06
cadherin binding involved in cell-cell adhesion (GO:0098641)	18	11	2.60	+	4.24	6.56E-06	1.60E-04
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	20	12	2.88	+	4.16	3.22E-06	8.53E-05
ATP-dependent protein folding chaperone (GO:0140662)	40	24	5.77	+	4.16	3.58E-11	1.75E-09
nuclear import signal receptor activity (GO:0061608)	20	12	2.88	+	4.16	3.22E-06	8.48E-05
phosphoserine residue binding (GO:0050815)	10	6	1.44	+	4.16	1.11E-03	1.52E-02
5S rRNA binding (GO:0008097)	10	6	1.44	+	4.16	1.11E-03	1.52E-02
ADP binding (GO:0043531)	39	23	5.62	+	4.09	1.51E-10	6.95E-09
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	17	10	2.45	+	4.08	2.81E-05	5.97E-04
serine-type exopeptidase activity (GO:0070008)	12	7	1.73	+	4.04	5.23E-04	7.85E-03
NADH dehydrogenase activity (GO:0003954)	12	7	1.73	+	4.04	5.23E-04	7.82E-03
protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	12	7	1.73	+	4.04	5.23E-04	7.80E-03
AMP binding (GO:0016208)	12	7	1.73	+	4.04	5.23E-04	7.78E-03
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	67	39	9.66	+	4.04	1.14E-16	7.80E-15
translation elongation factor activity (GO:0003746)	19	11	2.74	+	4.01	1.35E-05	3.03E-04
snRNA binding (GO:0017069)	47	27	6.78	+	3.98	8.94E-12	4.49E-10
fatty-acyl-CoA binding (GO:0000062)	14	8	2.02	+	3.96	2.46E-04	4.14E-03
cytochrome-c oxidase activity (GO:0004129)	14	8	2.02	+	3.96	2.46E-04	4.13E-03
S100 protein binding (GO:0044548)	14	8	2.02	+	3.96	2.46E-04	4.12E-03
membrane insertase activity (GO:0032977)	16	9	2.31	+	3.90	1.16E-04	2.08E-03
disulfide oxidoreductase activity (GO:0015036)	41	23	5.91	+	3.89	6.02E-10	2.57E-08
electron transfer activity (GO:0009055)	116	65	16.73	+	3.89	1.49E-25	1.49E-23
ligase activity (GO:0016874)	166	93	23.94	+	3.88	5.54E-36	7.87E-34
nuclear localization sequence binding (GO:0008139)	25	14	3.61	+	3.88	1.51E-06	4.32E-05
protein disulfide isomerase activity (GO:0003756)	18	10	2.60	+	3.85	5.51E-05	1.09E-03
proteasome binding (GO:0070628)	18	10	2.60	+	3.85	5.51E-05	1.08E-03
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	18	10	2.60	+	3.85	5.51E-05	1.08E-03
ligase activity, forming carbon-sulfur bonds (GO:0016877)	40	22	5.77	+	3.81	2.37E-09	9.85E-08
RNA cap binding (GO:0000339)	20	11	2.88	+	3.81	2.62E-05	5.60E-04
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	11	6	1.59	+	3.78	2.15E-03	2.73E-02
GTPase activating protein binding (GO:0032794)	11	6	1.59	+	3.78	2.15E-03	2.72E-02
intramolecular phosphotransferase activity (GO:0016868)	11	6	1.59	+	3.78	2.15E-03	2.72E-02
protein-disulfide reductase activity (GO:0015035)	35	19	5.05	+	3.76	3.92E-08	1.38E-06
metalloaminopeptidase activity (GO:0070006)	26	14	3.75	+	3.73	2.84E-06	7.68E-05
low-density lipoprotein particle receptor binding (GO:0050750)	26	14	3.75	+	3.73	2.84E-06	7.64E-05
aminopeptidase activity (GO:0004177)	41	22	5.91	+	3.72	4.41E-09	1.74E-07
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	41	22	5.91	+	3.72	4.41E-09	1.72E-07
rRNA binding (GO:0019843)	69	37	9.95	+	3.72	2.50E-14	1.51E-12
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	30	16	4.33	+	3.70	6.50E-07	2.00E-05
long-chain fatty acid-CoA ligase activity (GO:0004467)	15	8	2.16	+	3.70	4.61E-04	7.08E-03
adenyl-nucleotide exchange factor activity (GO:0000774)	15	8	2.16	+	3.70	4.61E-04	7.06E-03
fatty acid derivative binding (GO:1901567)	15	8	2.16	+	3.70	4.61E-04	7.04E-03
snoRNA binding (GO:0030515)	32	17	4.61	+	3.68	3.11E-07	9.84E-06
quinone binding (GO:0048038)	17	9	2.45	+	3.67	2.16E-04	3.70E-03
protein folding chaperone (GO:0044183)	78	41	11.25	+	3.64	2.53E-15	1.56E-13
tau protein binding (GO:0048156)	44	23	6.35	+	3.62	3.86E-09	1.53E-07
aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	23	12	3.32	+	3.62	2.26E-05	4.88E-04
lipoprotein particle receptor binding (GO:0070325)	31	16	4.47	+	3.58	1.16E-06	3.50E-05
signal sequence binding (GO:0005048)	47	24	6.78	+	3.54	3.28E-09	1.34E-07
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	55	28	7.93	+	3.53	1.77E-10	8.03E-09
unfolded protein binding (GO:0051082)	123	62	17.74	+	3.50	3.35E-21	2.90E-19
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	12	6	1.73	+	3.47	3.78E-03	4.30E-02
N6-methyladenosine-containing RNA reader activity (GO:1990247)	12	6	1.73	+	3.47	3.78E-03	4.29E-02
oligopeptide binding (GO:1900750)	12	6	1.73	+	3.47	3.78E-03	4.28E-02
protein-RNA adaptor activity (GO:0140517)	24	12	3.46	+	3.47	3.93E-05	8.11E-04
aldehyde dehydrogenase (NAD+) activity (GO:0004029)	22	11	3.17	+	3.47	8.31E-05	1.54E-03
potassium channel inhibitor activity (GO:0019870)	14	7	2.02	+	3.47	1.74E-03	2.25E-02
macrolide binding (GO:0005527)	12	6	1.73	+	3.47	3.78E-03	4.27E-02
translation factor activity, RNA binding (GO:0008135)	22	11	3.17	+	3.47	8.31E-05	1.53E-03
ether hydrolase activity (GO:0016803)	12	6	1.73	+	3.47	3.78E-03	4.26E-02
hydrolase activity, acting on ether bonds (GO:0016801)	12	6	1.73	+	3.47	3.78E-03	4.25E-02
clathrin adaptor activity (GO:0035615)	18	9	2.60	+	3.47	3.76E-04	5.90E-03
acyl-CoA binding (GO:0120227)	18	9	2.60	+	3.47	3.76E-04	5.88E-03
acid-thiol ligase activity (GO:0016878)	30	15	4.33	+	3.47	4.22E-06	1.07E-04
intramolecular oxidoreductase activity (GO:0016860)	51	25	7.36	+	3.40	4.62E-09	1.78E-07
poly-purine tract binding (GO:0070717)	31	15	4.47	+	3.36	7.08E-06	1.71E-04
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	60	29	8.65	+	3.35	4.18E-10	1.83E-08
poly-pyrimidine tract binding (GO:0008187)	29	14	4.18	+	3.35	1.49E-05	3.29E-04
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	123	59	17.74	+	3.33	6.81E-19	5.28E-17
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	132	63	19.04	+	3.31	6.18E-20	5.10E-18
carbohydrate kinase activity (GO:0019200)	21	10	3.03	+	3.30	2.93E-04	4.83E-03
ribosomal small subunit binding (GO:0043024)	21	10	3.03	+	3.30	2.93E-04	4.81E-03
ribonucleoprotein complex binding (GO:0043021)	181	86	26.10	+	3.29	1.56E-26	1.63E-24
GDP binding (GO:0019003)	78	37	11.25	+	3.29	3.40E-12	1.76E-10
RNA binding (GO:0003723)	1689	797	243.58	+	3.27	6.01E-256	3.08E-252
translation initiation factor binding (GO:0031369)	34	16	4.90	+	3.26	5.54E-06	1.38E-04
NAD+ binding (GO:0070403)	17	8	2.45	+	3.26	1.33E-03	1.78E-02
NADPH binding (GO:0070402)	17	8	2.45	+	3.26	1.33E-03	1.78E-02
active monoatomic ion transmembrane transporter activity (GO:0022853)	117	55	16.87	+	3.26	3.28E-17	2.30E-15
hexosaminidase activity (GO:0015929)	15	7	2.16	+	3.24	2.85E-03	3.49E-02
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	15	7	2.16	+	3.24	2.85E-03	3.49E-02
nucleosome binding (GO:0031491)	73	34	10.53	+	3.23	4.81E-11	2.32E-09
ribosome binding (GO:0043022)	116	54	16.73	+	3.23	1.09E-16	7.51E-15
poly(A) binding (GO:0008143)	26	12	3.75	+	3.20	1.06E-04	1.90E-03
mRNA binding (GO:0003729)	362	167	52.21	+	3.20	2.71E-48	4.96E-46
single-stranded RNA binding (GO:0003727)	87	40	12.55	+	3.19	1.62E-12	8.56E-11
cargo adaptor activity (GO:0140312)	22	10	3.17	+	3.15	4.68E-04	7.13E-03
C-acyltransferase activity (GO:0016408)	20	9	2.88	+	3.12	9.89E-04	1.40E-02
