




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (373)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
pentose biosynthetic process (GO:0019322)	2	2	.04	+	55.17	3.28E-04	4.06E-02
pyridoxine biosynthetic process (GO:0008615)	2	2	.04	+	55.17	3.28E-04	4.03E-02
pyridoxine metabolic process (GO:0008614)	2	2	.04	+	55.17	3.28E-04	4.00E-02
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	4	3	.07	+	41.38	2.33E-05	4.78E-03
nuclear pore localization (GO:0051664)	5	3	.09	+	33.10	5.75E-05	1.01E-02
positive regulation of stress granule assembly (GO:0062029)	7	3	.13	+	23.65	1.96E-04	2.81E-02
establishment or maintenance of cytoskeleton polarity (GO:0030952)	8	3	.14	+	20.69	3.09E-04	3.93E-02
protein localization to cytoplasmic stress granule (GO:1903608)	8	3	.14	+	20.69	3.09E-04	3.90E-02
pentose-phosphate shunt (GO:0006098)	14	4	.25	+	15.76	9.20E-05	1.49E-02
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	22	6	.40	+	15.05	1.99E-06	5.64E-04
negative regulation of mRNA processing (GO:0050686)	23	6	.42	+	14.39	2.65E-06	7.37E-04
negative regulation of RNA splicing (GO:0033119)	28	6	.51	+	11.82	9.15E-06	2.14E-03
NADPH regeneration (GO:0006740)	19	4	.34	+	11.62	3.32E-04	4.01E-02
glucose 6-phosphate metabolic process (GO:0051156)	24	5	.43	+	11.49	6.09E-05	1.06E-02
positive regulation of protein export from nucleus (GO:0046827)	20	4	.36	+	11.03	4.09E-04	4.64E-02
chromosome condensation (GO:0030261)	40	8	.72	+	11.03	5.01E-07	1.64E-04
mRNA splice site recognition (GO:0006376)	31	6	.56	+	10.68	1.71E-05	3.65E-03
stress granule assembly (GO:0034063)	27	5	.49	+	10.22	1.11E-04	1.74E-02
negative regulation of nucleocytoplasmic transport (GO:0046823)	30	5	.54	+	9.20	1.87E-04	2.70E-02
regulation of protein export from nucleus (GO:0046825)	37	6	.67	+	8.95	4.92E-05	8.86E-03
nucleosome assembly (GO:0006334)	90	14	1.63	+	8.58	8.41E-10	4.43E-07
protein targeting to mitochondrion (GO:0006626)	33	5	.60	+	8.36	2.98E-04	3.92E-02
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	33	5	.60	+	8.36	2.98E-04	3.89E-02
maturation of 5.8S rRNA (GO:0000460)	34	5	.62	+	8.11	3.44E-04	4.12E-02
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	35	5	.63	+	7.88	3.95E-04	4.59E-02
nucleosome organization (GO:0034728)	110	15	1.99	+	7.52	1.39E-09	6.86E-07
ribosome assembly (GO:0042255)	66	9	1.20	+	7.52	2.85E-06	7.80E-04
spliceosomal complex assembly (GO:0000245)	75	10	1.36	+	7.36	9.87E-07	2.91E-04
maturation of SSU-rRNA (GO:0030490)	54	7	.98	+	7.15	5.17E-05	9.19E-03
regulation of mRNA processing (GO:0050684)	140	18	2.54	+	7.09	8.43E-11	5.92E-08
regulation of mRNA splicing, via spliceosome (GO:0048024)	118	15	2.14	+	7.01	3.76E-09	1.59E-06
cytoplasmic translation (GO:0002181)	134	16	2.43	+	6.59	2.87E-09	1.32E-06
negative regulation of DNA recombination (GO:0045910)	51	6	.92	+	6.49	3.08E-04	3.95E-02
ribosomal large subunit biogenesis (GO:0042273)	72	8	1.30	+	6.13	4.70E-05	8.57E-03
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	69	7	1.25	+	5.60	2.50E-04	3.35E-02
protein-RNA complex assembly (GO:0022618)	207	21	3.75	+	5.60	2.08E-10	1.28E-07
negative regulation of mRNA metabolic process (GO:1903312)	109	11	1.98	+	5.57	4.70E-06	1.17E-03
ribosomal small subunit biogenesis (GO:0042274)	112	11	2.03	+	5.42	6.12E-06	1.48E-03
protein-RNA complex organization (GO:0071826)	216	21	3.91	+	5.36	4.58E-10	2.70E-07
rRNA metabolic process (GO:0016072)	256	24	4.64	+	5.17	5.48E-11	4.04E-08
nucleus organization (GO:0006997)	151	14	2.74	+	5.12	6.77E-07	2.04E-04
rRNA processing (GO:0006364)	217	20	3.93	+	5.09	3.05E-09	1.36E-06
pyridine-containing compound metabolic process (GO:0072524)	136	12	2.46	+	4.87	7.11E-06	1.69E-03
regulation of RNA splicing (GO:0043484)	194	17	3.52	+	4.83	9.88E-08	3.64E-05
ribonucleoprotein complex biogenesis (GO:0022613)	457	39	8.28	+	4.71	9.40E-16	1.54E-12
RNA splicing, via transesterification reactions (GO:0000375)	249	21	4.51	+	4.65	6.04E-09	2.47E-06
regulation of mRNA metabolic process (GO:1903311)	320	26	5.80	+	4.48	2.04E-10	1.31E-07
negative regulation of DNA metabolic process (GO:0051053)	136	11	2.46	+	4.46	3.86E-05	7.49E-03
